"ASTRONOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"188
ASTRON","","","","","","","","","","","","","","","","","","","",""
"103","001","","134","2.624","12.7","3.0","39.6","8.2","21.6","9.0","2.2","1.5",".",".",".",".",".","2.2",".","."
"103","002","","144","3.111","16.7","39.6","25.0","9.0","4.2",".","5.6",".",".",".",".",".",".",".",".","."
"103","003","","128","2.756","21.1","7.8","31.3","3.9","21.1","11.7","0.8","1.6",".",".",".",".",".","0.8",".","."
"The Evolving Universe","Course Total","","406","2.842","16.7","17.5","31.8","7.1","15.3","6.7","3.0","1.0",".",".",".",".",".","1.0",".","."
"113","001","","19","3.421","36.8","31.6","15.8","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"113","002","","16","3.094","31.3","31.3","18.8",".","6.3","6.3","6.3",".",".",".",".",".",".",".",".","."
"113","003","","17","3.235","17.6","23.5","47.1","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"113","004","","13","3.462","38.5","38.5",".","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"113","005","","17","3.206","5.9","41.2","41.2","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"113","006","","19","3.105","21.1","26.3","31.6","15.8",".",".","5.3",".",".",".",".",".",".",".",".","."
"Hands on the Universe","Course Total","","101","3.248","24.8","31.7","26.7","11.9","2.0","1.0","2.0",".",".",".",".",".",".",".",".","."
"150
Topics in Astronomy","001","","20","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"199
Directed Study","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"310
Stellar Astrophysics","001","","27","3.056","22.2","25.9","33.3","7.4","3.7",".","7.4",".",".",".",".",".",".",".",".","."
"330
Galaxies","001","","10","2.700","20.0","20.0","20.0",".","20.0","20.0",".",".",".",".",".",".",".",".",".","."
"691","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"691","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"699
Directed Study","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"700
Basic Astrophysics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"735
Observational Cosmology","001","","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","24","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
