"ITALIAN (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"","101
001","22","3.568","54.5","18.2","18.2","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","101
002","22","3.568","50.0","18.2","27.3","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","003
101","24","3.771","75.0","12.5","8.3",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","101
005","22","3.477","45.5","18.2","22.7","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"","101
006","20","3.625","60.0","20.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","101
008","23","3.545","39.1","30.4","21.7","4.3",".",".",".","4.3",".",".",".",".",".",".",".","."
"","101
009","19","3.184","21.1","21.1","36.8","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"","101
010","23","3.522","43.5","34.8","4.3","17.4",".",".",".",".",".",".",".",".",".",".",".","."
"","101
012","21","3.595","52.4","19.0","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","101
013","22","3.318","27.3","36.4","27.3",".","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"","101
016","18","3.500","27.8","44.4","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
017","17","3.267","17.6","35.3","23.5",".","11.8",".",".","11.8",".",".",".",".",".",".",".","."
"","101
018","18","2.794","22.2","22.2","22.2","5.6","5.6","5.6","11.1","5.6",".",".",".",".",".",".",".","."
"First Semester Italian","Course Total","271","3.461","42.4","25.1","20.7","5.9","3.0","0.7","0.7","1.5",".",".",".",".",".",".",".","."
"","102
001","12","3.167","16.7","25.0","41.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","102
002","18","3.028","11.1","22.2","44.4","5.6","16.7",".",".",".",".",".",".",".",".",".",".","."
"","102
004","17","3.471","41.2","29.4","17.6","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","102
006","19","3.333","31.6","26.3","21.1","5.3","10.5",".",".","5.3",".",".",".",".",".",".",".","."
"","102
007","22","3.341","31.8","22.7","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","102
008","11","3.045","18.2","36.4","27.3","9.1",".",".","9.1",".",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","99","3.250","26.3","26.3","29.3","9.1","7.1",".","1.0","1.0",".",".",".",".",".",".",".","."
"First Semester Italian Honors","181
001","22","3.591","50.0","45.5",".",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"","201
001","17","3.533","41.2","23.5","17.6",".","5.9",".",".","11.8",".",".",".",".",".",".",".","."
"","201
002","11","3.150","27.3","27.3","27.3",".",".",".","9.1",".",".",".",".",".",".",".","9.1","."
"","201
003","18","3.235","22.2","16.7","44.4","5.6","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"Ital-Speakrs of Romanc Lang","Course Total","46","3.321","30.4","21.7","30.4","2.2","4.3",".","2.2","6.5",".",".",".",".",".",".","2.2","."
"","203
001","16","2.857","12.5","18.8","25.0","6.3","18.8","6.3",".","12.5",".",".",".",".",".",".",".","."
"","203
002","23","3.065","13.0","30.4","39.1","8.7","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"","203
004","23","3.457","26.1","39.1","34.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
006","19","3.500","36.8","26.3","26.3","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"","203
007","19","3.105","26.3","26.3","15.8","26.3",".",".","5.3",".",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","100","3.216","23.0","29.0","29.0","9.0","4.0","1.0","2.0","3.0",".",".",".",".",".",".",".","."
"","204
001","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
002","20","3.667","45.0","30.0","15.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Fourth Semester Italian","Course Total","35","3.773","62.9","20.0","11.4",".",".",".",".","5.7",".",".",".",".",".",".",".","."
"Adv Compostn&Converstn","311
001","22","3.929","81.8","13.6",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Intro to Italian Literature","321
001","17","3.667","52.9","35.3","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Structures of Italian","340
001","22","3.915","77.3","18.2",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Topic-Italian: Study Abroad","420
000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","451
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","451
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Italian Lit","Course Total","2","***","","","","","","","","","","","","","","","",""
"Topics: Ital Culture,Film,Lang","001
453","19","3.938","78.9",".","5.3",".",".",".",".","15.8",".",".",".",".",".",".",".","."
"Lineamenti Di Lett Italiana","631
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
