"AFRICAN LANGUAGES & LITERA Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","",""
"Intro-African Lang and Lit","201","001","64","3.227","20.3","40.6","18.8","14.1","3.1","1.6","1.6",".",".",".",".",".",".",".",".","."
"The African Storyteller","210","001","264","3.030","29.9","16.3","20.5","15.5","11.4","2.3","3.8",".","0.4",".",".",".",".",".",".","."
"Intro-Yoruba Life & Culture","230","001","20","3.684","70.0","15.0",".","5.0",".","5.0",".","5.0",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","48","3.135","22.9","18.8","39.6","8.3","8.3",".","2.1",".",".",".",".",".",".",".",".","."
"African Lit in Translation","300","001","21","3.425","28.6","33.3","23.8","9.5",".",".",".",".",".",".",".",".",".",".","4.8","."
"Hausa Verbal Arts in Translatn","306","001","30","3.667","63.3","26.7","3.3",".","3.3","3.3",".",".",".",".",".",".",".",".",".","."
"","321","001","17","3.470","47.1","11.8","29.4","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","321","002","16","3.910","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321","003","27","3.609","55.6","22.2","14.8","3.7","3.7",".",".",".",".",".",".",".",".",".",".","."
"First Semester Arabic","","Course Total","60","3.650","61.7","15.0","16.7","5.0","1.7",".",".",".",".",".",".",".",".",".",".","."
"","323","001","13","3.269","38.5","23.1","23.1",".","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"","323","002","12","3.208","16.7","41.7","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Arabic","","Course Total","25","3.240","28.0","32.0","20.0","8.0","8.0","4.0",".",".",".",".",".",".",".",".",".","."
"Colloquial Arabic","325","001","9","3.625","55.6",".","33.3",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"First Semester Swahili","331","001","25","3.702","52.0","32.0","12.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"Third Semester Swahili","333","001","14","3.107","14.3","42.9","21.4","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"Third Semester Xhosa","353","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Islam: Religion and Culture","370","001","51","3.451","51.0","23.5","11.8","7.8","2.0",".","3.9",".",".",".",".",".",".",".",".","."
"First Semester Yoruba","371","001","21","3.615","57.1","23.8","9.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Yoruba","373","001","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Civilization-Ancient Egypt","375","001","12","3.136","16.7","25.0","25.0","16.7","8.3",".",".","8.3",".",".",".",".",".",".",".","."
"African Poetry","411","001","12","3.257","33.3","25.0","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"Contemp Afrcn&Caribbn Drama","413","001","20","3.179","40.0","5.0","40.0","10.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"Adv Studies-Swahili Lang-Gr","435","001","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Readings-Adv Arabic Texts","445","001","15","3.538","53.3","6.7","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".","13.3","."
"Adv Studies-Hausa Lang-Rdgs","466","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Yoruba","475","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Lang and Society in Africa","500","001","22","3.922","81.8","4.5","4.5",".",".",".",".","4.5",".",".",".",".",".","4.5",".","."
"Struct&Analysis-Afric Langs","501","001","11","3.643","54.5","36.4",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","669","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"S African Oral&Written Lit","935","001","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
