"INDUSTRIAL & SYSTEMS ENGR","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313","001","","60","3.373","50.0","13.3","20.0","3.3","6.7","3.3","1.7","1.7",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320","001","","26","3.058","15.4","19.2","34.6","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"","321","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","321","002","","14","2.893","7.1","14.3","42.9","21.4","14.3",".",".",".",".",".",".",".",".",".",".","."
"","321","003","","11","3.273","27.3","27.3","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","","Course Total","","26","3.058","15.4","19.2","34.6","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"Oper Rsch-Determnstc Modelg","323","001","","46","3.344","39.1","15.2","30.4","4.3","6.5","2.2",".","2.2",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","","51","3.422","31.4","31.4","29.4","5.9","2.0",".",".",".",".",".",".",".",".",".",".","."
"Honors in Research","389","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Anal","415","001","","42","3.679","64.3","16.7","9.5","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"Health Systems Engineering","417","001","","18","3.333","27.8","33.3","22.2","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"Industrial Engr Projects","476","001","","22","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","489","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Facilities Planning","510","001","","25","3.375","28.0","40.0","12.0","8.0","8.0",".",".","4.0",".",".",".",".",".",".",".","."
"Analysis-Capital Investment","513","001","","21","2.476","14.3","14.3","23.8","14.3","14.3","4.8","14.3",".",".",".",".",".",".",".",".","."
"Engr Mgt-Cont Proc Imprvmnt","515","001","","58","3.784","70.7","25.9","1.7",".",".",".","1.7",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","","12","2.917","8.3","41.7","25.0","8.3","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"Intro-Quality Engineering","575","001","","41","3.524","51.2","26.8","12.2","4.9","2.4",".","2.4",".",".",".",".",".",".",".",".","."
"Cmptr Integratd Manufactrng","605","001","","17","3.676","52.9","41.2",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Info Sensing&Anal-Manufacturng","612","001","","11","3.455","36.4","36.4","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Stochastic Modeling Tech","624","001","","27","3.481","33.3","37.0","22.2","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sociotechnical Systems","652","001","","20","3.100","15.0","20.0","40.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Organization and Job Design","653","001","","25","3.680","52.0","32.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Tech Chng-Mfg Syst","658","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Occupational Stress","663","001","","16","4.000","93.8",".",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"E-Bus:Technol, Strategy & Appl","671","001","","25","3.896","76.0","20.0",".",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"","691","032","","32","3.922","84.4","15.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","033","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics Industrial Engr","","Course Total","","45","3.911","82.2","17.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"","699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","","6","3.850","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
