"WILDLIFE ECOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"960
WL ECOL","","","","","","","","","","","","","","","","","","","",""
"100
Dept & Career Orientation","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299
Independent Study","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"318
Principles-Wildlife Ecology","001","","212","2.630","7.1","19.8","19.8","21.7","20.3","9.9","0.9","0.5",".",".",".",".",".",".",".","."
"319
Ecol Prin Appl to Wildlife","001","","41","3.134","17.1","36.6","14.6","19.5","12.2",".",".",".",".",".",".",".",".",".",".","."
"360
Extinction of Species","001","","58","3.313","37.9","13.8","27.6","8.6","6.9","1.7",".","1.7",".",".",".",".",".",".","1.7","."
"399
Coord Intrnshp/Cooprtv Educ","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"401
Physiologicl Animal Ecology","001","","45","2.911","17.8","8.9","28.9","31.1","11.1","2.2",".",".",".",".",".",".",".",".",".","."
"548
Diseases of Wildlife","001","","60","3.192","30.0","16.7","25.0","18.3","10.0",".",".",".",".",".",".",".",".",".",".","."
"561
Wildlife Management Tech","001","","36","3.681","58.3","22.2","16.7","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","4","***","","","","","","","","","","","","","","","",""
"840
Metapopulatns&Other Adv Topics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"961
Seminar","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","16","",".",".",".",".",".",".",".","81.3",".",".",".","12.5",".",".","6.3","."
