"","990
085","","1","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
088","","1","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
091","","1","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","","33","",".",".",".",".",".","",".","",".","97.0",".",".",".","3.0","",".",".",".","."
"M&ENVTOX
362","Dept. Total","","92","3.390","17.4","1.1","7.6","1.1","2.2","",".","",".","68.5","1.1",".",".","1.1","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"362
M&ENVTOX","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","4","3.667","50.0",".","25.0",".",".","",".","",".",".","25.0",".",".",".","",".",".",".","."
"Senior","","","7","3.429","57.1",".","28.6",".","14.3","",".","",".",".",".",".",".",".","",".",".",".","."
"Undergraduates","","","11","3.500","54.5",".","27.3",".","9.1","",".","",".",".","9.1",".",".",".","",".",".",".","."
"Special","","","6","3.000","16.7",".",".",".","16.7","",".","",".","66.7",".",".",".",".","",".",".",".","."
"Graduate","","","75","3.379","12.0","1.3","5.3","1.3",".","",".","",".","78.7",".",".",".","1.3","",".",".",".","."
"","Dept. Total","","92","3.390","17.4","1.1","7.6","1.1","2.2","",".","",".","68.5","1.1",".",".","1.1","",".",".",".","."
