"","990
028","1","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
032","3","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
037","1","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","24","",".",".",".",".",".","",".",".","87.5","",".",".",".","12.5","",".",".",".","."
"DY SCI
292","Dept. Total","206","3.456","52.4","10.7","15.5","1.5","6.3","",".","0.5","10.7","",".",".",".","1.9","",".",".","0.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","20","3.231","40.0",".","50.0","5.0",".","",".","5.0",".","",".",".",".",".","",".",".",".","."
"Sophomore","","31","3.735","74.2","9.7","12.9",".",".","",".",".","3.2","",".",".",".",".","",".",".",".","."
"Junior","","50","3.385","54.0","14.0","14.0","2.0","16.0","",".",".",".","",".",".",".",".","",".",".",".","."
"Senior","","44","3.404","50.0","15.9","18.2","2.3","11.4","",".",".",".","",".",".",".",".","",".",".","2.3","."
"Undergraduates","","145","3.408","55.2","11.7","20.0","2.1","9.0","",".","0.7","0.7","",".",".",".",".","",".",".","0.7","."
"Special","","1","3.500",".","100.0",".",".",".","",".",".",".","",".",".",".",".","",".",".",".","."
"Graduate","","60","3.712","46.7","6.7","5.0",".",".","",".",".","35.0","",".",".",".","6.7","",".",".",".","."
"","Dept. Total","206","3.456","52.4","10.7","15.5","1.5","6.3","",".","0.5","10.7","",".",".",".","1.9","",".",".","0.5","."
