"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","175","3.406","33.7","33.7","22.3","6.3","1.7","1.7","0.6",".",".",".",".",".",".",".",".","."
"","301
002","42","3.952","92.9","4.8","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
003","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Abilities & Learning","Course Total","243","3.562","50.6","25.5","16.5","4.5","1.2","1.2","0.4",".",".",".",".",".",".",".",".","."
"","320
001","156","3.176","28.8","26.3","21.2","11.5","7.1","3.8","1.3",".",".",".",".",".",".",".",".","."
"","320
002","155","3.313","28.4","32.3","26.5","5.8","5.2","0.6","1.3",".",".",".",".",".",".",".",".","."
"Human Dev-Infancy&Childhood","Course Total","311","3.244","28.6","29.3","23.8","8.7","6.1","2.3","1.3",".",".",".",".",".",".",".",".","."
"Human Develop-Adolescence","321
001","108","3.340","19.4","40.7","27.8","7.4","2.8",".",".","0.9",".",".",".",".",".","0.9",".","."
"","521
002","23","3.739","52.2","43.5","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","521
003","28","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adolscnt Develp-Educ Contxt","Course Total","51","3.843","70.6","27.5","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Prof School Psych","540
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appl Behav Anal in Classrms","541
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Found of Ed Measurement","570
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
054","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","8","3.950","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Research in Ed Psych I","709
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
003","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
005","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
007","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Socl, Emotionl&Behav Assessmnt","741
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
001","29","3.707","48.3","44.8","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
002","31","3.793","64.5","19.4","9.7",".",".",".",".",".",".",".",".","3.2",".",".","3.2","."
"Stat Meth Appl to Educ I","Course Total","60","3.750","56.7","31.7","8.3",".",".",".",".",".",".",".",".","1.7",".",".","1.7","."
"Intro: Dsgn-Ed Experiments","762
001","34","3.691","64.7","11.8","20.6","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Learning Sciences I","795
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","840
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Pract-School Psych","Course Total","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chld&Adoles Psychpathl/Schl","844
001","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Anal & Design-Ed Rsch","861
001","18","3.688","50.0","22.2","16.7",".",".",".",".","5.6",".",".",".",".","5.6",".",".","."
"Smr-Adolescent Development","921
001","8","3.786","62.5","12.5","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Internshp-School Psychology","943
001","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
