"Sociodem Anal-Mexican Migratn","470
001","","6","3.583","66.7","16.7",".",".","16.7",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"Indians & Spanish Borderlands","516
001","","8","3.375","12.5","50.0","37.5",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"Understandng Latino Fam & Comm","657
001","","9","3.667","66.7","11.1","11.1","11.1",".",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"Directed Study","699
001","","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"CHICLA
228","Dept. Total","","62","3.493","38.7","37.1","16.1","1.6","1.6","3.2","",".","",".","",".",".","",".","",".","",".","1.6",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"228
CHICLA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","9","3.268","44.4","33.3",".",".","11.1","11.1","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","16","3.353","37.5","18.8","25.0","6.3",".","6.3","",".","",".","",".",".","",".","",".","",".","6.3",".","."
"Senior","","","37","3.602","37.8","45.9","16.2",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","62","3.493","38.7","37.1","16.1","1.6","1.6","3.2","",".","",".","",".",".","",".","",".","",".","1.6",".","."
"","Dept. Total","","62","3.493","38.7","37.1","16.1","1.6","1.6","3.2","",".","",".","",".",".","",".","",".","",".","1.6",".","."
