"","990
065","4","***","","","","","","","","","","","","",".",".",".","",".",".",".","."
"","990
079","2","***","","","","","","","","","","","","",".",".",".","",".",".",".","."
"Research","Course Total","11","",".",".",".",".",".","",".","",".","100.0","",".",".",".","",".",".",".",".","."
"Advanced Independent Study","999
012","2","***","","","","","","","","","","","","",".",".",".","",".",".",".","."
"S&A PHM
732","Dept. Total","336","3.551","43.5","31.0","17.9","1.5","2.1","",".","",".","3.6","",".",".",".","",".","0.3",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".",".","",".",".",".",".","."
"Junior","","4","4.000","100.0",".",".",".",".","",".","",".",".","",".",".",".","",".",".",".",".","."
"Senior","","6","3.625","66.7",".","33.3",".",".","",".","",".",".","",".",".",".","",".",".",".",".","."
"Undergraduates","","12","3.813","83.3",".","16.7",".",".","",".","",".",".","",".",".",".","",".",".",".",".","."
"Special","","1","",".",".",".",".",".","",".","",".","100.0","",".",".",".","",".",".",".",".","."
"Graduate","","27","3.820","44.4","11.1",".",".",".","",".","",".","40.7","",".",".",".","",".","3.7",".",".","."
"Prof Yr 1","","136","3.357","27.9","30.1","33.1","3.7","5.1","",".","",".",".","",".",".",".","",".",".",".",".","."
"Prof Yr 2","","4","4.000","100.0",".",".",".",".","",".","",".",".","",".",".",".","",".",".",".",".","."
"Prof Yr 3","","155","3.728","52.3","38.7","8.4",".",".","",".","",".",".","",".",".",".","",".",".",".","0.6","."
"Prof Yr 4","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".",".","",".",".",".",".","."
"Professionals","","296","3.531","41.9","34.1","19.6","1.7","2.4","",".","",".",".","",".",".",".","",".",".",".","0.3","."
"","Dept. Total","336","3.551","43.5","31.0","17.9","1.5","2.1","",".","",".","3.6","",".",".",".","",".","0.3",".","0.3","."
