"ENTOMOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"355
ENTOM","","","","","","","","","","","","","","","","","","","",""
"201
Insects and Human Culture","001","","134","3.612","42.5","46.3","6.0","3.0","1.5","0.7",".",".",".",".",".",".",".",".",".","."
"299","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"302
Introduction to Entomology","001","","26","3.654","69.2","7.7","11.5","7.7","3.8",".",".",".",".",".",".",".",".",".",".","."
"321
Physiology of Insects","001","","14","3.885","71.4","21.4",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"342
Insect Ecology","001","","26","2.750","23.1","7.7","19.2","11.5","30.8","7.7",".",".",".",".",".",".",".",".",".","."
"371
Medical Entomology","001","","14","3.692","42.9","42.9","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","13","3.462","61.5",".","23.1",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682
Senior Honors Thesis","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","10","3.952","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Advanced Taxonomy","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801
Colloquium","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"905
Smr: Applied Entomology","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Research & Thesis","Course Total","","20","",".",".",".",".",".",".",".","85.0",".",".",".","15.0",".",".",".","."
