"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"The Musical Experience","101
001","","169","3.416","35.5","21.9","33.1","5.9","2.4",".",".","1.2",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103
001","","35","2.886","25.7","8.6","25.7","8.6","25.7","5.7",".",".",".",".",".",".",".",".",".","."
"Opera","105
001","","74","3.581","71.6","5.4","13.5",".","4.1","4.1","1.4",".",".",".",".",".",".",".",".","."
"Intro to Music Technology","110
001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","111
001","","25","3.292","32.0","28.0","24.0","4.0","4.0",".","4.0","4.0",".",".",".",".",".",".",".","."
"","002
111","","23","3.565","47.8","34.8","4.3","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"Elements of Music","Course Total","","48","3.426","39.6","31.3","14.6","6.3","4.2",".","2.1","2.1",".",".",".",".",".",".",".","."
"Music in Performance","113
001","","488","3.937","84.8","5.3","1.2","0.2","0.2","0.4",".","7.8",".",".",".",".",".",".",".","."
"","121
001","","28","3.089","17.9","28.6","28.6","17.9","3.6",".","3.6",".",".",".",".",".",".",".",".","."
"","121
002","","40","3.113","22.5","22.5","30.0","10.0","12.5","2.5",".",".",".",".",".",".",".",".",".","."
"Musica Practica 1","Course Total","","68","3.103","20.6","25.0","29.4","13.2","8.8","1.5","1.5",".",".",".",".",".",".",".",".","."
"","151
001","","31","3.452","54.8","19.4","6.5","12.9","3.2",".","3.2",".",".",".",".",".",".",".",".","."
"","151
002","","23","3.477","52.2","8.7","26.1","4.3",".","4.3",".","4.3",".",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","Course Total","","54","3.462","53.7","14.8","14.8","9.3","1.9","1.9","1.9","1.9",".",".",".",".",".",".",".","."
"","171
101","","14","3.357","28.6","28.6","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","171
102","","14","2.929","7.1","35.7","35.7","7.1","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"","171
103","","14","3.214","21.4","35.7","14.3","21.4","7.1",".",".",".",".",".",".",".",".",".",".","."
"","171
104","","12","3.500","50.0","25.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","171
105","","14","3.250","14.3","42.9","28.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 1","Course Total","","68","3.243","23.5","33.8","22.1","14.7","4.4",".","1.5",".",".",".",".",".",".",".",".","."
"The Big Bands","205
001","","300","3.417","42.3","20.0","15.0","12.7","6.0",".",".","4.0",".",".",".",".",".",".",".","."
"Survey-Hist Western Music","211
001","","53","3.236","34.0","15.1","30.2","5.7","15.1",".",".",".",".",".",".",".",".",".",".","."
"","221
001","","19","3.447","31.6","31.6","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","221
002","","28","3.321","10.7","42.9","46.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 3","Course Total","","47","3.372","19.1","38.3","40.4","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"","253
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","253
002","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conducting","Course Total","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Opera","256
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Opera Workshop","257
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
002","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
002","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble: Wisconsin Singers","Course Total","","36","3.972","97.2",".","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Woodwind","Course Total","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Black Music Ensemble","266
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
