"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","",""
"MED","College Total","7695","3.547","47.7","18.9","16.2","","1.8 Name? Name? Name? Name? Name? Name? Name? Name? Name? Name? Name?","","","","","","","","","","","#Name?"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"MED","","Grades","GPA","","","","","","","","","","","","","","","",""
"Freshmen","","20","3.852","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","184","2.827","33.7","7.6","32.6","5.4","10.3","5.4","4.3","0.5",".",".",".",".",".",".",".","."
"Junior","","519","3.228","44.7","13.3","27.2","2.7","7.1","2.9","1.9",".",".",".",".",".",".",".","0.2","."
"Senior","","1223","3.484","53.3","16.6","19.5","3.7","3.8","1.2","0.7","0.7",".","0.3",".",".","0.1",".","0.1","."
"Undergraduates","","1946","3.343","49.5","14.7","22.7","3.5","5.3","2.1","1.4","0.5",".","0.2",".",".","0.1",".","0.1","."
"Special","","127","3.574","50.4","19.7","15.7","1.6","0.8",".","0.8","4.7",".",".",".",".",".",".","6.3","."
"Graduate","","1529","3.711","40.1","13.5","7.0","0.4","0.4",".",".","32.2","0.1","4.1",".","2.0","0.1",".","0.1","."
"Prof Yr 1","","955","3.638","57.5","18.3","13.5","1.4","1.6","0.2","0.1","2.0",".","5.4",".",".",".",".",".","."
"Prof Yr 2","","1541","3.573","45.6","21.2","22.4","2.1","1.2",".","0.1","1.0",".","6.2",".",".",".",".",".","0.1"
"Prof Yr 3","","638","3.443","26.6","33.5","23.2","0.8","0.5",".","0.2","1.6","0.2","11.3","0.2","0.6","0.5",".","0.3","0.6"
"Prof Yr 4","","979","3.795","63.7","22.9","5.4","0.7",".",".","0.1","6.7",".","0.2",".",".",".",".",".","0.2"
"Professionals","","4113","3.609","49.7","22.8","16.4","1.4","0.9","0.0","0.1","2.7","0.0","5.4","0.0","0.1","0.1",".","0.0","0.2"
"","College Total","7715","3.547","47.8","18.9","16.1","1.7","1.9","0.5","0.4","8.0","0.0","3.7","0.0","0.4","0.1",".","0.2","0.1"
