"EDU","","","","","","","","","","","","","","","","","","",""
"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","308","2.535","10.4","9.4","23.1","14.9","31.2","6.8","2.9","0.6","0.3",".",".",".",".","0.3",".","."
"","102
001","8","4.000","62.5",".",".",".",".",".",".","37.5",".",".",".",".",".",".",".","."
"","102
002","11","3.125","9.1","18.2","27.3","18.2",".",".",".","27.3",".",".",".",".",".",".",".","."
"Beginning Swimming","Course Total","19","3.462","31.6","10.5","15.8","10.5",".",".",".","31.6",".",".",".",".",".",".",".","."
"","125
001","10","",".",".",".",".",".",".",".","90.0",".",".",".",".",".",".","10.0","."
"","125
002","21","4.000","4.8",".",".",".",".",".",".","85.7",".",".",".",".",".",".","9.5","."
"","003
125","22","",".",".",".",".",".",".",".","81.8",".",".",".",".",".",".","18.2","."
"","125
004","16","4.000","6.3",".",".",".",".",".",".","75.0",".",".",".",".",".",".","18.8","."
"Adapted Fitness&Pers Traing","Course Total","69","4.000","2.9",".",".",".",".",".",".","82.6",".",".",".",".",".",".","14.5","."
"","127
001","19","3.417","15.8","26.3","15.8","5.3",".",".",".","36.8",".",".",".",".",".",".",".","."
"","127
002","17","3.563","11.8","29.4","5.9",".",".",".",".","52.9",".",".",".",".",".",".",".","."
"","127
003","21","3.700","38.1","23.8","9.5",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"","127
004","15","3.455","13.3","53.3",".",".","6.7",".",".","26.7",".",".",".",".",".",".",".","."
"Bowling I","Course Total","72","3.543","20.8","31.9","8.3","1.4","1.4",".",".","36.1",".",".",".",".",".",".",".","."
"","129
001","23","3.265","13.0","30.4","17.4","8.7","4.3",".",".","26.1",".",".",".",".",".",".",".","."
"","129
002","21","3.615","28.6","19.0","14.3",".",".",".",".","38.1",".",".",".",".",".",".",".","."
"","129
003","16","3.417","18.8","25.0","31.3",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Intro to Yoga Practice","Course Total","60","3.417","20.0","25.0","20.0","3.3","1.7",".",".","30.0",".",".",".",".",".",".",".","."
"","130
001","18","3.433","33.3","27.8","5.6","11.1","5.6",".",".","16.7",".",".",".",".",".",".",".","."
"","130
002","25","3.955","84.0",".","4.0",".",".",".",".","12.0",".",".",".",".",".",".",".","."
"Running (Aerobic Fitness)","Course Total","43","3.743","62.8","11.6","4.7","4.7","2.3",".",".","14.0",".",".",".",".",".",".",".","."
"","131
001","24","3.525","41.7","20.8","12.5",".","8.3",".",".","16.7",".",".",".",".",".",".",".","."
"","131
002","15","3.500","13.3","13.3",".","6.7",".",".",".","60.0",".",".",".",".",".","6.7",".","."
"","131
003","21","3.500","33.3","42.9","19.0",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Cross Traing-Basic Fitness","Course Total","60","3.511","31.7","26.7","11.7","1.7","5.0",".",".","21.7",".",".",".",".",".","1.7",".","."
"","132
001","11","3.455","27.3","45.5","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","002
132","16","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","132
003","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","132
005","17","3.400","29.4","41.2",".","5.9","11.8",".",".","11.8",".",".",".",".",".",".",".","."
"","132
006","22","3.500","27.3","36.4","18.2","4.5",".",".",".","13.6",".",".",".",".",".",".",".","."
"","132
007","14","3.500","7.1","64.3","7.1",".",".",".",".","21.4",".",".",".",".",".",".",".","."
"","132
008","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","132
009","15","3.750","46.7","46.7",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Weight Training","Course Total","134","3.708","53.7","29.9","6.0","2.2","1.5",".",".","6.7",".",".",".",".",".",".",".","."
"","133
001","21","3.658","42.9","33.3","14.3",".",".",".",".","9.5",".",".",".",".",".",".",".","."
"","133
002","21","3.474","38.1","14.3","33.3","4.8",".",".",".","9.5",".",".",".",".",".",".",".","."
"","133
003","24","3.857","70.8","8.3","8.3",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","133
004","23","3.825","65.2","13.0","8.7",".",".",".",".","13.0",".",".",".",".",".",".",".","."
"Rhythmic/Step Aerobics","Course Total","89","3.709","55.1","16.9","15.7","1.1",".",".",".","11.2",".",".",".",".",".",".",".","."
"","134
001","19","3.929","63.2","10.5",".",".",".",".",".","26.3",".",".",".",".",".",".",".","."
"","134
002","16","3.679","56.3","12.5","12.5","6.3",".",".",".","12.5",".",".",".",".",".",".",".","."
"Relaxation Tech & Exercise","Course Total","35","3.804","60.0","11.4","5.7","2.9",".",".",".","20.0",".",".",".",".",".",".",".","."
"","138
001","13","3.571","23.1","15.4","15.4",".",".",".",".","46.2",".",".",".",".",".",".",".","."
"","138
002","18","3.250","16.7","16.7","22.2","5.6","5.6",".",".","27.8","5.6",".",".",".",".",".",".","."
