"","990
070","4","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
071","3","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
072","2","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","135","",".",".",".",".",".",".",".","89.6","",".",".",".","10.4","",".",".",".","."
"BIOCHEM
200","Dept. Total","1318","3.261","42.9","11.7","16.5","5.7","7.8","1.0","1.1","11.9","",".",".",".","1.1","",".","0.1",".","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".",".",".","",".",".",".","."
"Sophomore","","21","2.990","47.6","14.3","9.5","9.5","9.5","4.8","4.8",".","",".",".",".",".","",".",".",".","."
"Junior","","271","3.034","38.7","9.2","19.2","10.3","18.5","2.2","1.8",".","",".",".",".",".","",".",".",".","."
"Senior","","483","3.260","47.6","13.7","19.5","6.6","9.5","1.2","1.7",".","",".",".",".",".","",".","0.2",".","."
"Undergraduates","","777","3.170","44.7","12.1","19.0","8.0","12.6","1.7","1.8",".","",".",".",".",".","",".","0.1",".","."
"Special","","23","3.298","39.1","17.4","21.7","8.7","4.3",".","4.3","4.3","",".",".",".",".","",".",".",".","."
"Graduate","","497","3.555","41.2","9.7","12.7","2.2","0.8",".",".","30.2","",".",".",".","2.8","",".",".",".","0.4"
"Prof Yr 1","","1","",".",".",".",".",".",".",".","100.0","",".",".",".",".","",".",".",".","."
"Prof Yr 3","","16","3.500","18.8","50.0","12.5",".",".",".",".","18.8","",".",".",".",".","",".",".",".","."
"Prof Yr 4","","4","4.000","50.0",".",".",".",".",".",".","50.0","",".",".",".",".","",".",".",".","."
"Professionals","","21","3.532","23.8","38.1","9.5",".",".",".",".","28.6","",".",".",".",".","",".",".",".","."
"","Dept. Total","1318","3.261","42.9","11.7","16.5","5.7","7.8","1.0","1.1","11.9","",".",".",".","1.1","",".","0.1",".","0.2"
