"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","102
001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","20","3.658","70.0","15.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".",".","5.0"
"","004
102","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","14","3.714","92.9",".",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Two-Dimensional Design","Course Total","86","3.794","79.1","12.8","4.7",".",".",".","2.3",".",".",".",".",".",".",".",".","1.2"
"","104
001","11","3.455","54.5","18.2","18.2",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"","104
002","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
003","11","3.318","18.2","45.5","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","104
004","14","3.393","14.3","64.3","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Three-Dimensional Design","Course Total","48","3.479","37.5","37.5","18.8",".","4.2","2.1",".",".",".",".",".",".",".",".",".","."
"Foundations of Contemp Art","108
001","140","3.266","13.6","46.4","20.7","17.9",".","0.7",".","0.7",".",".",".",".",".",".",".","."
"","112
001","15","3.385","46.7",".","13.3","26.7",".",".",".","13.3",".",".",".",".",".",".",".","."
"","112
002","18","3.750","55.6","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
003","17","3.500","29.4","52.9","5.9","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","112
004","18","3.500","27.8","50.0","11.1",".","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"","112
005","9","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
006","10","3.300","20.0","20.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
112","16","3.536","37.5","31.3","6.3","12.5",".",".",".","12.5",".",".",".",".",".",".",".","."
"","008
112","16","2.955","18.8","12.5","12.5","6.3","12.5","6.3",".","12.5","12.5",".",".",".",".",".",".","6.3"
"","112
009","15","3.536","53.3","33.3",".",".",".",".","6.7","6.7",".",".",".",".",".",".",".","."
"Drawing I","Course Total","134","3.467","36.6","31.3","13.4","6.7","2.2","0.7","0.7","6.0","1.5",".",".",".",".",".",".","0.7"
"","212
001","16","3.781","81.3","6.3","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","212
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
003","15","3.667","60.0","26.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","212
004","12","3.792","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drawing II","Course Total","56","3.804","78.6","10.7","7.1",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"","214
001","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","214
002","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","214
003","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sculpture I","Course Total","35","3.957","91.4","8.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
001","10","3.600","60.0",".","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
002","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
003","17","3.441","17.6","52.9","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
004","16","3.967","87.5","6.3",".",".",".",".",".",".",".",".",".",".",".","6.3",".","."
"Introduction to Painting","Course Total","58","3.693","56.9","22.4","19.0",".",".",".",".",".",".",".",".",".",".","1.7",".","."
"","224
001","13","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
002","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","224
003","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ceramics I","Course Total","41","3.900","82.9","9.8","4.9",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"Textile Design: Off-Loom","226
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Textile Design: Weaving I","229
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","232
001","10","3.400","30.0","30.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
