"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Human Geography","101","001","178","2.994","7.3","25.3","39.9","19.7","4.5","0.6","1.7","0.6",".",".",".",".",".","0.6",".","."
"","120","001","106","2.619","4.7","14.2","33.0","16.0","22.6","6.6","1.9","0.9",".",".",".",".",".",".",".","."
"","120","002","139","2.709","13.7","14.4","26.6","22.3","10.8","8.6","3.6",".",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","245","2.670","9.8","14.3","29.4","19.6","15.9","7.8","2.9","0.4",".",".",".",".",".",".",".","."
"Atmspherc Envirnmnt&Society","121","001","44","3.205","27.3","22.7","22.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","127","001","66","2.636","12.1","7.6","30.3","16.7","24.2","7.6","1.5",".",".",".",".",".",".",".",".","."
"Soil: Ecosystem & Resource","230","001","15","3.500","33.3","40.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Bascom Course","236","001","18","3.806","77.8","16.7",".",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Plants and Man","240","001","33","3.340","36.4","12.1","42.4","3.0","6.1",".",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","14","3.464","35.7","28.6","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","9","3.056","11.1","11.1","55.6","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","7","3.167","14.3","14.3","42.9","14.3",".",".",".","14.3",".",".",".",".",".",".",".","."
"Population-Migrat&Diffusion","300","001","35","3.544","48.6","22.9","14.3","8.6","2.9",".",".",".",".",".",".",".",".","2.9",".","."
"Econ Geog: Locational Behav","302","001","17","3.588","52.9","29.4","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"Human Role-Changing Earth","303","001","11","3.600","45.5","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".",".","9.1"
"Introduction to the City","305","001","40","3.026","7.5","20.0","47.5","15.0","2.5","2.5",".","5.0",".",".",".",".",".",".",".","."
"Geog,Politics&Territorialty","318","001","42","3.288","26.2","28.6","26.2","2.4","11.9",".",".","2.4",".",".",".",".",".","2.4",".","."
"Geomorphology","320","001","15","3.267","33.3","20.0","26.7","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"Climatic Environments-Past","331","001","18","3.147","16.7","27.8","27.8","11.1","11.1",".",".",".",".",".",".",".",".","5.6",".","."
"","339","001","32","2.823","9.4","15.6","37.5","18.8","9.4","3.1","3.1","3.1",".",".",".",".",".",".",".","."
"","339","002","46","2.556",".","17.4","34.8","21.7","13.0","4.3","6.5",".",".",".",".",".","2.2",".",".","."
"Environmental Conservation","","Course Total","78","2.664","3.8","16.7","35.9","20.5","11.5","3.8","5.1","1.3",".",".",".",".","1.3",".",".","."
"Europe","349","001","139","3.393","41.7","18.7","23.7","5.8","4.3","2.9",".","2.2",".",".",".",".","0.7",".",".","."
"Africa, South of the Sahara","355","001","34","3.121","23.5","23.5","29.4",".","17.6","2.9",".",".",".",".",".",".",".","2.9",".","."
"Quantitative Meth-Geog Anal","360","001","29","2.948","27.6","20.7","24.1","10.3","3.4","6.9","6.9",".",".",".",".",".",".",".",".","."
"Introduction to Cartography","370","001","62","3.192","30.6","21.0","24.2","9.7","6.5","3.2","1.6",".",".",".",".",".",".",".","3.2","."
"Intro to Geog Info Systems","377","001","52","3.333","36.5","28.8","17.3","9.6","1.9",".","3.8","1.9",".",".",".",".",".",".",".","."
"Ldscap&Settlmt-N Amer Past","508","001","30","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envr Geog&Cnsrv-Devlp Cntry","535","001","18","3.824","66.7","22.2","5.6",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Humid Tropics","538","001","29","3.315","20.7","34.5","27.6","3.4","6.9",".",".","3.4",".",".",".",".",".",".","3.4","."
"Adv Quantitative Methods","560","001","16","3.633","43.8","31.3","18.8",".",".",".",".",".",".",".",".",".",".",".","6.3","."
"Colloq-Undergraduate Majors","565","001","22","3.659","68.2","22.7","4.5",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"GIS and Spatial Analysis","579","001","19","2.579","31.6","15.8","5.3","5.3","15.8","15.8","10.5",".",".",".",".",".",".",".",".","."
"","602","046","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Special Topics in Geography","675","001","18","3.139","22.2","33.3","27.8","5.6","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","698","048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 210 of 406",""
