"","CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","211","001","","23","3.109","26.1","17.4","21.7","21.7","13.0",".",".",".",".",".",".",".",".",".",".","."
"Process Synthesis","250","001","","53","2.689","18.9","11.3","24.5","9.4","24.5","7.5","3.8",".",".",".",".",".",".",".",".","."
"Thermodynamics of Mixtures","311","001","","34","2.853","17.6","17.6","20.6","11.8","29.4","2.9",".",".",".",".",".",".",".",".",".","."
"Intro Transport Phenomena","320","001","","42","2.893","14.3","16.7","38.1",".","28.6","2.4",".",".",".",".",".",".",".",".",".","."
"","324","002","","10","3.450","30.0","30.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324","003","","9","3.389","33.3","22.2","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","324","004","","12","3.250","16.7","41.7","16.7","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","","Course Total","","31","3.355","25.8","32.3","29.0","12.9",".",".",".",".",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","326","001","","39","2.654","12.8","28.2","7.7","15.4","23.1","7.7","5.1",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Transfer Operations","426","001","","30","2.817","16.7","20.0","23.3","16.7","16.7",".","6.7",".",".",".",".",".",".",".",".","."
"Chem Kinetcs & Reactor Dsgn","430","001","","32","2.922","25.0","9.4","28.1","12.5","18.8","6.3",".",".",".",".",".",".",".",".",".","."
"Chemical Engineering Matl","440","001","","29","2.638","10.3","13.8","20.7","24.1","24.1","3.4","3.4",".",".",".",".",".",".",".",".","."
"Process Design","450","001","","25","3.229","16.0","36.0","28.0","8.0","8.0",".",".",".",".",".",".",".",".",".","4.0","."
"Process Dynamics & Control","470","001","","29","2.966","20.7","27.6","13.8","6.9","27.6","3.4",".",".",".",".",".",".",".",".",".","."
"Biology in Engineering Seminar","517","001","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Macromolecular Hydrodynamics","525","001","","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Polymer Sci & Technology","540","001","","25","3.220","32.0","20.0","28.0","8.0","8.0","4.0",".",".",".",".",".",".",".",".",".","."
"Seminar-Chem Engr Connections","555","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biochemical Engineering","560","001","","7","3.429","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","562","003","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics in ChE","","Course Total","","12","3.794","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Solar Energy Technology","567","001","","13","2.538",".","30.8","30.8","15.4",".","15.4","7.7",".",".",".",".",".",".",".",".","."
"","599","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","20","3.684","85.0",".","10.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"Intmed Problems in ChE","660","001","","25","3.563","28.0","52.0","16.0",".",".",".",".",".",".",".",".",".",".",".","4.0","."
"Adv Independent Studies","699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv ChE Thermodynamic","710","001","","22","3.591","36.4","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 103 of 406",""
