"URBAN AND REGIONAL PLANNI","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","",""
"305
Introduction to the City","001","","32","3.081","6.3","31.3","37.5","15.6","6.3",".",".","3.1",".",".",".",".",".",".",".","."
"306
The Real Estate Process","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"590
Contemp Topics-Urb & Reg Pl","001","","18","3.389","27.8","33.3","33.3",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"617
Community Development","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"677
Urbanism and Urbanization","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Directed Study","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"721
Methods-Planning Analysis","001","","19","3.421","15.8","52.6","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"734
Regional Econ Prob Analysis","001","","15","3.400","20.0","40.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"741
Introduction to Planning","001","","27","3.556","25.9","59.3","14.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"742
Intl Development Planning Thry","001","","10","3.889","80.0",".","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"843
Land Use Policy & Planning","001","","16","3.438","12.5","62.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"844
Housing and Public Policy","001","","11","3.455","18.2","54.5","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"865
Water Resrce Inst&Policies","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"912
Planning Workshop","001","","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"969
Smr:Trends&Iss-Public Plan","001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","6","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
"999","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
