"","990
069","2","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
071","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
075","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","55","",".",".",".",".",".","",".","",".","98.2","",".",".",".","1.8",".",".",".","."
"NEUROSCI
682","Dept. Total","335","3.723","39.4","15.5","5.1",".","0.3","",".","",".","29.9","",".","9.3",".","0.3","0.3",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"682
NEUROSCI","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","20","3.719","55.0","40.0","5.0",".",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Senior","","132","3.715","65.9","22.0","9.8",".","0.8","",".","",".","1.5","",".",".",".",".",".",".",".","."
"Undergraduates","","152","3.715","64.5","24.3","9.2",".","0.7","",".","",".","1.3","",".",".",".",".",".",".",".","."
"Special","","3","4.000","100.0",".",".",".",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Graduate","","169","3.739","18.3","7.7","1.8",".",".","",".","",".","53.3","",".","17.8",".","0.6","0.6",".",".","."
"Prof Yr 3","","7","3.500",".","28.6",".",".",".","",".","",".","57.1","",".","14.3",".",".",".",".",".","."
"Prof Yr 4","","4","",".",".",".",".",".","",".","",".","100.0","",".",".",".",".",".",".",".","."
"Professionals","","11","3.500",".","18.2",".",".",".","",".","",".","72.7","",".","9.1",".",".",".",".",".","."
"","Dept. Total","335","3.723","39.4","15.5","5.1",".","0.3","",".","",".","29.9","",".","9.3",".","0.3","0.3",".",".","."
