"HEBREW (HEBREW AND SEMITI Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"440
HEBR ST","","","","","","","","","","","","","","","","","","","","",""
"","101","001","","25","3.800","72.0","16.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101","002","","26","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101","003","","26","3.712","65.4","15.4","15.4","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","101","004","","20","3.775","60.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Hebrew","","Course Total","","97","3.794","69.1","21.6","8.2","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"Biblical Hebrew-First Sem","103","001","","11","3.636","36.4","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","001","","17","3.500","58.8","17.6","17.6",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","201","002","","15","3.733","73.3","13.3",".","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Hebrew","","Course Total","","32","3.609","65.6","15.6","9.4","6.3",".",".","3.1",".",".",".",".",".",".",".",".","."
"Introduction to Judaism","211","001","","17","3.438","5.9","70.6","17.6",".",".",".",".",".",".",".",".",".",".",".","5.9","."
"Intro to Biblical Lit","217","001","","8","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Biblical Archaeology","241","001","","8","2.500","12.5",".","62.5",".",".","12.5","12.5",".",".",".",".",".",".",".",".","."
"Intro to Hebrew Literature","301","001","","9","3.500","55.6","22.2",".","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Biblical Hebrew-First Sem","303","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Biblical Texts","323","001","","9","3.111","22.2","33.3","11.1","11.1","22.2",".",".",".",".",".",".",".",".",".",".","."
"Bible in the Middle Ages","368","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Jewish Civilization","371","001","","12","3.727","66.7","16.7",".",".","8.3",".",".","8.3",".",".",".",".",".",".",".","."
"Survey of Modern Hebrew Lit","401","001","","15","3.400","26.7","40.0","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Biblical Archaeology","451","001","","6","3.583","16.7","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biblical Texts, Poetry","513","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdgs-Contemp Hebrew Lit","533","001","","22","3.818","77.3","9.1","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Syriac I","605","001","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wisdom Literature: Job","654","001","","8","3.500","37.5","37.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","799","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Linguis Appr to Biblicl Hebrew","957","001","","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","4","***","","","","","","","","","","","","","","","",""
