"","999
047","2","***","","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
048","1","***","","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
050","2","***","","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Reading","Course Total","12","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"ELPA
305","Dept. Total","474","3.900","65.4","8.2","3.4","",".","",".","",".","",".","19.8","",".",".","",".","2.1","1.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","2","3.250",".","50.0","50.0","",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","6","3.679","50.0","16.7","16.7","",".","",".","",".","",".","16.7","",".",".","",".",".",".",".",".","."
"Undergraduates","","8","3.550","37.5","25.0","25.0","",".","",".","",".","",".","12.5","",".",".","",".",".",".",".",".","."
"Special","","58","3.946","89.7","6.9","1.7","",".","",".","",".","",".","1.7","",".",".","",".",".",".",".",".","."
"Graduate","","407","3.899","62.4","8.1","3.2","",".","",".","",".","",".","22.6","",".",".","",".","2.5","1.2",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","474","3.900","65.4","8.2","3.4","",".","",".","",".","",".","19.8","",".",".","",".","2.1","1.1",".",".","."
