"PHYSIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","",""
"335
Physiology","001","","476","2.995","37.6","3.8","31.9","3.6","12.4","6.3","4.4",".",".",".",".",".",".",".",".","."
"610
Cellular&Molecular Neurosci","001","","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"629
Molec & Cellular Mech-Memory","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"675","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Selected Topics-Physiology","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","13","3.938","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","069","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Work","Course Total","","37","3.963","97.3",".","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"700
Prof Devlpmt-Biomed Grad Stdts","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"810
Principles & Pract-Biotechnol","001","","23","3.522","17.4","69.6","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"814
Molecular Technologies I","001","","23","3.826","65.2","34.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"830
Tech Apps-Early Drug Discovery","001","","17","3.588","23.5","70.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"834
Molecular Technologies III","001","","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"840
Bus of Biotech: Fundamentals","001","","23","3.826","65.2","34.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"841
Bus of Biotech:Challenges&Apps","001","","18","3.750","55.6","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","7","",".",".",".",".",".",".",".","85.7",".",".",".","14.3",".",".",".","."
"990","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","069","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","084","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","096","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","50","",".",".",".",".",".",".",".","96.0",".",".",".","4.0",".",".",".","."
