"","990
169","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
192","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
210","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research","Course Total","3","***","","","","","","","","","","","","","","","","","","","","",""
"MEDICINE
632","Dept. Total","371","3.591","50.4","22.9","13.5","0.5","",".","",".","0.5","11.6","0.3",".","",".","",".","",".",".",".","0.3"
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".","",".","",".",".",".",".",".","",".","",".","",".",".",".","."
"Junior","","4","4.000","100.0",".",".",".","",".","",".",".",".",".",".","",".","",".","",".",".",".","."
"Senior","","8","3.885","87.5",".","12.5",".","",".","",".",".",".",".",".","",".","",".","",".",".",".","."
"Undergraduates","","13","3.919","92.3",".","7.7",".","",".","",".",".",".",".",".","",".","",".","",".",".",".","."
"Graduate","","2","3.500","50.0",".","50.0",".","",".","",".",".",".",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","3","4.000","100.0",".",".",".","",".","",".",".",".",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".","",".","",".",".",".",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","76","3.292","19.7","27.6","47.4","1.3","",".","",".","1.3","1.3","1.3",".","",".","",".","",".",".",".","."
"Prof Yr 4","","276","3.793","56.2","23.2","4.3","0.4","",".","",".","0.4","15.2",".",".","",".","",".","",".",".",".","0.4"
"Professionals","","356","3.583","48.9","23.9","13.5","0.6","",".","",".","0.6","12.1","0.3",".","",".","",".","",".",".",".","0.3"
"","Dept. Total","371","3.591","50.4","22.9","13.5","0.5","",".","",".","0.5","11.6","0.3",".","",".","",".","",".",".",".","0.3"
