"CLASSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","",""
"The Ancient Mediterranean","110
001","53","3.375","34.0","24.5","34.0","5.7",".",".","1.9",".",".",".",".",".",".",".",".","."
"Art&Archaeology-Ancient Greece","300
001","33","3.234","36.4","6.1","36.4","9.1","6.1","3.0",".","3.0",".",".",".",".",".",".",".","."
"Civilizat of Ancient Greece","320
001","121","3.479","48.8","24.0","14.9","4.1","5.8","2.5",".",".",".",".",".",".",".",".",".","."
"Topics in Greek Culture","371
001","57","3.387","29.8","33.3","17.5","10.5",".",".","1.8","5.3",".",".",".",".",".","1.8",".","."
"Topics in Classical Culture","373
001","68","3.328","27.9","35.3","16.2","14.7","2.9","1.5",".","1.5",".",".",".",".",".",".",".","."
"Civilization-Ancient Egypt","375
001","71","3.242","25.4","25.4","18.3","8.5","8.5",".","1.4","12.7",".",".",".",".",".",".",".","."
"Greek & Roman Med & Phcy","561
001","19","3.026","21.1","15.8","52.6",".",".","5.3","5.3",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Reading","699
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Art&Archaeolog-Ancient Greece","700
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Ancient History","801
001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Hist of Philosophy","830
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"CLASSICS
244","Dept. Total","436","3.370","36.2","25.5","21.1","7.6","3.9","1.4","0.9","3.2",".",".",".",".",".","0.2",".","."
