"704
PATH","","","","","","","","","","","","","","","","","","","","","","","",""
"","990
074","1","***","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
075","1","***","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"Research","Course Total","41","",".",".",".",".",".","",".","",".","100.0","",".",".",".","",".","",".",".",".","."
"PATH
704","Dept. Total","276","3.756","51.4","2.5","14.1",".","0.7","",".","",".","14.9","",".","14.1",".","",".","",".",".","2.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","3","3.800","66.7","33.3",".",".",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Senior","","9","3.942","88.9","11.1",".",".",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Undergraduates","","12","3.919","83.3","16.7",".",".",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Special","","14","3.833","50.0",".","7.1",".",".","",".","",".",".","",".",".",".","",".","",".",".","42.9","."
"Graduate","","94","3.700","23.4","3.2",".",".",".","",".","",".","42.6","",".","30.9",".","",".","",".",".",".","."
"Prof Yr 2","","172","3.737","70.3","0.6","22.1",".","1.2","",".","",".",".","",".","5.8",".","",".","",".",".",".","."
"Prof Yr 4","","4","3.833","50.0","25.0",".",".",".","",".","",".","25.0","",".",".",".","",".","",".",".",".","."
"Professionals","","176","3.740","69.9","1.1","21.6",".","1.1","",".","",".","0.6","",".","5.7",".","",".","",".",".",".","."
"","Dept. Total","296","3.756","54.7","2.4","13.2",".","0.7","",".","",".","13.9","",".","13.2",".","",".","",".",".","2.0","."
