"ANIMAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","",""
"101
Livestock Production","001","","66","3.331","37.9","15.2","30.3","10.6","3.0",".","1.5",".",".",".",".",".",".",".",".","1.5"
"200
Biol&Apprec-Companion Anmls","001","","148","2.726","22.3","14.2","20.3","8.8","17.6","12.2","3.4",".",".",".",".",".",".","1.4",".","."
"289
Honors Independent Study","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"370
Livestck Prod&Hlth-Ag Dvlpm","001","","8","3.563","62.5","12.5","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","7","3.750","71.4",".","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"431
Beef Cattle Production","001","","12","3.167","25.0","16.7","33.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"434
Reproductive Physiology","001","","29","3.172","27.6","24.1","13.8","24.1","10.3",".",".",".",".",".",".",".",".",".",".","."
"435
Animal Sciences Proseminar","001","","30","3.867","76.7","20.0","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"515
Commercial Meat Processing","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"681
Senior Honor Thesis","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","12","3.948","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Animal Sci Tchng","Course Total","","3","***","","","","","","","","","","","","","","","",""
"875","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"875","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","6","3.725","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"950
Seminar in Animal Genomics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"951
Seminar in Animal Breeding","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
