"NUCLEAR ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"271
Engr Problem Solving I","001","","24","2.917","8.3","16.7","54.2","8.3","8.3",".","4.2",".",".",".",".",".",".",".",".","."
"305
Fundamentals-Nuclear Engr","001","","30","3.017","23.3","20.0","23.3","16.7","6.7","3.3","3.3","3.3",".",".",".",".",".",".",".","."
"406
Nuclear Reactor Analysis","001","","14","3.179","28.6","14.3","42.9","7.1",".","7.1",".",".",".",".",".",".",".",".",".","."
"411
Nuclear Reactor Engineering","001","","26","2.900","15.4","7.7","30.8","26.9","15.4",".",".","3.8",".",".",".",".",".",".",".","."
"423
Nuclear Engr Materials","001","","30","3.333","33.3","30.0","16.7","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"427
Nuclear Instrumentation Lab","001","","34","3.412","26.5","35.3","35.3",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"428
Nuclear Reactor Laboratory","001","","10","3.600","60.0","20.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"525
Introduction to Plasmas","001","","9","3.556","22.2","66.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"527
Plasma Confinement&Heating","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"528
Plasma Processng & Technlgy","001","","7","3.333","14.3","42.9","14.3","14.3",".",".",".","14.3",".",".",".",".",".",".",".","."
"547
Engineering Analysis I","001","","22","3.310","36.4","18.2","9.1","31.8",".",".",".","4.5",".",".",".",".",".",".",".","."
"550
Adv Nuclear Power Engr","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"602
Special Topics-Reactor Engr","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"725
Plasma Kinetic&Radiatn Proc","001","","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","008","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","018","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","35","",".",".",".",".",".",".",".","88.6",".",".",".","11.4",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
