"AMERICAN INDIAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","",""
"Intro-Amer Indian Studies","100
001","76","3.559","56.6","15.8","18.4","6.6","1.3",".","1.3",".",".",".",".",".",".",".",".","."
"Amer Indians in Higher Educ","150
001","14","3.650","42.9","14.3","7.1","7.1",".",".",".",".",".",".",".",".","14.3","14.3",".","."
"Intro to Lit of Native America","172
001","161","3.311","28.0","35.4","18.6","8.7","3.1","1.2","1.9","3.1",".",".",".",".",".",".",".","."
"First Semester Ojibwe","301
001","49","3.311","57.1","6.1","8.2","2.0","10.2","4.1","4.1","6.1",".",".",".",".","2.0",".",".","."
"Indians of North America","314
001","142","3.301","31.0","24.6","28.2","5.6","5.6","0.7","1.4","2.8",".",".",".",".",".",".",".","."
"Survey-N Amer Indian Languages","371
001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","450
003","7","3.714","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","450
005","14","3.375","42.9","7.1","28.6",".",".","7.1",".",".","7.1",".",".",".",".",".",".","7.1"
"","450
007","21","3.500","33.3","42.9","9.5","4.8","4.8",".",".",".",".",".",".",".",".","4.8",".","."
"Issues in Amer Ind Studies","Course Total","42","3.500","42.9","23.8","19.0","2.4","2.4","2.4",".",".","2.4",".",".",".",".","2.4",".","2.4"
"Ethnohist-Am Indian: Relig&Pol","471
001","8","3.188","25.0","25.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"American Indian History","490
001","25","3.399","8.0","64.0","28.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Indians & Spanish Borderlands","516
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Am Indians-Contemporary Soc","639
001","16","2.813","37.5","12.5","12.5",".","18.8","12.5","6.3",".",".",".",".",".",".",".",".","."
"American Indian Affairs","658
001","10","3.780","60.0","20.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","699
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"AMER IND
140","Dept. Total","555","3.368","37.7","25.9","19.6","5.6","4.3","1.4","1.6","2.3","0.2",".",".",".","0.5","0.5",".","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","",""
"Freshmen","","120","3.457","44.2","19.2","20.0","8.3","0.8",".","1.7",".",".",".",".",".","2.5","2.5",".","0.8"
"Sophomore","","142","3.318","30.3","31.7","26.8","2.1","4.9","2.1","1.4","0.7",".",".",".",".",".",".",".","."
"Junior","","162","3.458","41.4","29.6","15.4","6.2","3.1","0.6","1.2","2.5",".",".",".",".",".",".",".","."
"Senior","","125","3.215","34.4","21.6","16.8","6.4","8.8","3.2","2.4","5.6","0.8",".",".",".",".",".",".","."
"Undergraduates","","549","3.365","37.5","26.0","19.7","5.6","4.4","1.5","1.6","2.2","0.2",".",".",".","0.5","0.5",".","0.2"
"Special","","2","3.500",".","50.0",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Graduate","","4","3.727","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","555","3.368","37.7","25.9","19.6","5.6","4.3","1.4","1.6","2.3","0.2",".",".",".","0.5","0.5",".","0.2"
