"ART HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","","",""
"Ancient and Medieval Art","201","001","157","3.358","41.4","19.7","19.7","4.5","8.9",".","1.9","3.8",".",".",".",".",".",".",".","."
"Renaissance to Modern Art","202","001","227","3.616","52.0","30.0","9.7","5.3","0.4","0.9","0.4","0.9",".",".",".",".",".","0.4",".","."
"Intro-Africn Art&Architectr","241","001","44","3.643","59.1","22.7","4.5","4.5","2.3","2.3",".","4.5",".",".",".",".",".",".",".","."
"Art&Archaeology-Ancient Greece","300","001","37","3.355","32.4","16.2","27.0",".","5.4","2.7",".","16.2",".",".",".",".",".",".",".","."
"Chinese Art:10th C. to Present","308","001","55","3.365","32.7","16.4","27.3","3.6","7.3",".",".","12.7",".",".",".",".",".",".",".","."
"Italian Art: 1250-1400","321","001","40","3.059","12.5","22.5","22.5","17.5","10.0",".",".","15.0",".",".",".",".",".",".",".","."
"Netherlandish Painting-15c","331","001","40","3.308","42.5","17.5","17.5","7.5","10.0",".","2.5","2.5",".",".",".",".",".",".",".","."
"Print&Master Printmkrs-West","334","001","27","3.667","51.9","22.2","11.1",".","3.7",".",".","7.4",".",".",".",".","3.7",".",".","."
"20th Century Art in Europe","351","001","54","3.375","25.9","29.6","25.9","3.7","1.9","1.9",".","9.3",".",".",".",".",".",".","1.9","."
"Am Dec Arts & Int: 1620-1840","363","001","28","3.329","17.9","57.1","14.3","7.1",".",".","3.6",".",".",".",".",".",".",".",".","."
"Hist of Amer Art, 1607-Present","364","001","57","3.413","26.3","38.6","19.3","1.8","3.5","1.8",".","8.8",".",".",".",".",".",".",".","."
"Arts of Japan","372","001","39","3.269","28.2","38.5","17.9","10.3",".",".","5.1",".",".",".",".",".",".",".",".","."
"Cities of Asia","379","001","35","2.985","8.6","25.7","45.7","11.4",".",".","5.7","2.9",".",".",".",".",".",".",".","."
"Topics in American Art","406","001","26","3.300","34.6","30.8","19.2","3.8",".","3.8","3.8",".",".",".",".",".","3.8",".",".","."
"Topics in Asian Art","411","001","42","3.146","19.0","16.7","38.1","21.4","2.4",".",".","2.4",".",".",".",".",".",".",".","."
"Topics-Architecturl History","449","001","35","3.633","48.6","17.1","14.3","5.7",".",".",".","11.4",".",".",".",".",".","2.9",".","."
"Dimensions of Material Culture","464","001","20","3.500","20.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"20th Cent European Art","556","001","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar in American Art","565","001","15","3.633","40.0","46.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosem-Amer Architecture","567","001","6","3.700","50.0","16.7","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Proseminar in Chinese Art","576","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics-Art History","600","001","20","3.529","45.0","15.0","15.0","5.0","5.0",".",".","10.0",".",".",".",".","5.0",".",".","."
"","681","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","035","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","5","***","","","","","","","","","","","","","","","",""
"","699","003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Art&Archaeolog-Ancient Greece","700","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Art History","701","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Smr:Spec Topics-Art History","800","001","19","3.658","36.8","57.9","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-American Architecture","867","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 160 of 406",""
