"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"The Real Estate Process","306
001","213","3.137","23.9","15.5","34.7","14.1","8.0","0.9","0.5","2.3",".",".",".",".",".",".",".","."
"Real Estate Law","312
001","52","3.314","23.1","32.7","25.0","17.3",".",".",".","1.9",".",".",".",".",".",".",".","."
"Real Estate Finance","410
001","48","3.160","27.1","10.4","41.7","4.2","14.6",".",".","2.1",".",".",".",".",".",".",".","."
"Valuation of Real Estate","415
001","46","3.576","32.6","50.0","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","420
001","74","3.297","27.0","27.0","29.7","10.8","5.4",".",".",".",".",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","611
001","48","3.813","70.8","20.8","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","710
001","34","3.382","26.5","26.5","44.1","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","712
001","27","3.667","59.3","18.5","18.5","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Techniques-Real Est Valuatn","715
001","25","3.580","32.0","52.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Urban Economics","720
001","18","3.639","44.4","38.9","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Urban Land Econ PhD","978
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Real Estate","990
151","2","***","","","","","","","","","",".",".",".",".",".",".","."
"REAL EST
239","Dept. Total","600","3.354","33.2","23.7","28.0","8.5","4.7","0.3","0.2","1.5",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"Junior","","169","3.235","26.0","21.9","32.5","10.7","8.3",".",".","0.6",".",".",".",".",".",".",".","."
"Senior","","288","3.323","31.3","22.6","28.5","10.8","4.2","0.7",".","2.1",".",".",".",".",".",".",".","."
"Undergraduates","","457","3.290","29.3","22.3","30.0","10.7","5.7","0.4",".","1.5",".",".",".",".",".",".",".","."
"Special","","7","2.571","28.6",".","28.6",".","28.6",".","14.3",".",".",".",".",".",".",".",".","."
"Graduate","","131","3.623","46.6","30.5","20.6","0.8",".",".",".","1.5",".",".",".",".",".",".",".","."
"Prof Yr 3","","5","3.300","40.0",".","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","5","3.300","40.0",".","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","600","3.354","33.2","23.7","28.0","8.5","4.7","0.3","0.2","1.5",".",".",".",".",".",".",".","."
