"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","105
001","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
004","17","3.882","94.1",".",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Human Dev; Awareness Proc","Course Total","33","3.909","93.9",".","3.0",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"Human Dev:Career Strategies","110
001","15","3.667","86.7",".","6.7",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","115
003","18","3.765","88.9",".",".",".",".",".","5.6","5.6",".",".",".",".",".",".",".","."
"","115
007","19","3.789","68.4","26.3",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","115
008","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
012","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
014","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
015","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
016","9","3.722","66.7","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","115
017","10","3.600","60.0","20.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","018
115","12","3.417","33.3","41.7","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","115
019","10","3.833","60.0","30.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","115
020","12","3.708","66.7","25.0",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","115
021","11","3.136","27.3","27.3","18.2","18.2",".","9.1",".",".",".",".",".",".",".",".",".","."
"","115
022","14","3.571","71.4","14.3","7.1",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","115
023","12","3.833","83.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","115
025","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
026","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
027","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","028
115","12","3.667","66.7","16.7","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","115
030","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
031","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
032","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Dev: Ed Effectiveness","Course Total","216","3.724","72.2","15.7","4.6","2.8","1.9","0.5","1.4","0.5",".",".",".",".","0.5",".",".","."
"","620
005","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
009","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Cnslg & Guidnce","Course Total","10","3.975","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Prac-Interviewing","650
001","85","3.565","55.3","25.9","9.4","4.7","1.2","2.4","1.2",".",".",".",".",".",".",".",".","."
"Career Dev Through Life Spn","665
001","18","3.806","72.2","22.2",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading","699
027","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Theories of Counseling","800
001","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assess Tech for Counselors","801
001","18","3.794","66.7","16.7","11.1",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Tech&Microskills-Counselors","805
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","807
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","807
002","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Suprvsd Pract-Counseling II","Course Total","17","3.936","82.4","11.8",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Master Intrshp-Cnslg & Guid","810
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Csnlg Psych Tech-Families","825
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consultation Proc-Counselor","850
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Multicultural Counseling","860
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry&Prac-Career Interventn","865
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 77 of 406"
