"L&S","","","","","","","","","","","","","","","","","","","",""
"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","",""
"400
001
Capstone Integration Seminar","15","3.833","66.7","33.3",".",".",".",".",".",".",".","",".",".",".","",".",".",".","."
"490
016","17","4.000","100.0",".",".",".",".",".",".",".",".","",".",".",".","",".",".",".","."
"490
056","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"Course Total
Rsch-Integrated LiberalStudies","18","4.000","100.0",".",".",".",".",".",".",".","",".",".",".","",".",".",".",".","."
"ILS
Dept. Total
500","1675","3.466","33.8","24.4","16.2","3.9","2.6","0.5","0.5","0.2","",".","17.3","0.1","",".","0.1","0.1","0.1","0.1"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","690","3.494","30.9","20.4","13.2","4.5","1.2","0.6","0.3",".","",".","28.6","0.1","",".",".","0.1",".","0.1"
"Sophomore","475","3.459","32.6","29.9","18.7","4.0","2.3","0.4","0.4","0.2","",".","11.2","0.2","",".",".",".",".","."
"Junior","283","3.492","38.2","27.9","19.4","2.1","3.5","0.4","0.4",".","",".","7.8",".","",".","0.4",".",".","."
"Senior","217","3.381","41.0","21.7","17.1","4.6","6.5","0.9","1.8","0.9","",".","5.5",".","",".",".",".",".","."
"Undergraduates","1665","3.466","33.9","24.6","16.3","4.0","2.6","0.5","0.5","0.2","",".","17.1","0.1","",".","0.1","0.1",".","0.1"
"Special","10","4.000","10.0",".",".",".",".",".",".",".","",".","60.0",".","",".",".","10.0","20.0","."
"Dept. Total","1675","3.466","33.8","24.4","16.2","3.9","2.6","0.5","0.5","0.2","",".","17.3","0.1","",".","0.1","0.1","0.1","0.1"
