"OPERATIONS & TECHNOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","","","",""
"","350","001","","249","3.050","18.1","19.3","38.2","11.6","8.8","2.8","0.8",".",".",".",".",".",".","0.4",".","."
"","350","002","","43","2.686","11.6","18.6","25.6","7.0","25.6","11.6",".",".",".",".",".",".",".",".",".","."
"Mgmt-Serv&Manufctng Operatn","","Course Total","","292","2.997","17.1","19.2","36.3","11.0","11.3","4.1","0.7",".",".",".",".",".",".","0.3",".","."
"Contemporary Topics","365","001","","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Research I","410","001","","12","3.708","58.3","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Service Operations Mgmt","451","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Business Logistics Analysis","640","001","","21","3.571","38.1","47.6","9.5",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"E-Bus:Technol, Strategy & Appl","671","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","705","001","","61","3.575","34.4","44.3","19.7",".",".",".",".",".",".",".",".",".",".",".",".","1.6"
"","705","002","","59","3.483","28.8","42.4","27.1",".","1.7",".",".",".",".",".",".",".",".",".",".","."
"Data Analysis&Decision Making","","Course Total","","120","3.529","31.7","43.3","23.3",".","0.8",".",".",".",".",".",".",".",".",".",".","0.8"
"Operations Research I","710","001","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economics for Managers","732","001","","32","3.563","43.8","31.3","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Service Operations Managmnt","751","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Manage Tech & Organztnl Change","758","001","","20","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765","030","","31","3.726","58.1","29.0","12.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Qual & Productivity Improvemnt","770","001","","15","3.679","40.0","46.7","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","799","139","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","121","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","139","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Operatns&Inf Mgt","","Course Total","","7","",".",".",".",".",".",".",".","85.7",".",".",".","14.3",".",".",".","."
