"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Intro-Theatre & Dramatic Lit","120
001","338","3.593","50.0","29.0","14.8","3.3","1.5","0.9",".","0.3",".",".",".",".",".",".","0.3","."
"Voice Training","140
001","19","3.079","26.3","31.6","15.8","5.3","15.8",".","5.3",".",".",".",".",".",".",".",".","."
"","150
001","18","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
002","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
004","18","3.861","72.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
005","15","3.607","60.0","13.3","6.7","6.7","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"","150
006","14","3.714","64.3","28.6",".",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","150
007","16","3.656","56.3","31.3","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","150
008","16","3.344","31.3","31.3","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","150
009","20","3.700","80.0",".","5.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","150
010","17","3.382","58.8","17.6",".","11.8","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"Introduction to Acting","Course Total","150","3.685","68.0","16.7","6.0","3.3","4.7",".","0.7","0.7",".",".",".",".",".",".",".","."
"","161
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
007","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
009","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","27","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","162
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","162
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theatre Production Laboratory","Course Total","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals-Costumes Technol","163
001","10","3.182","50.0",".","20.0",".","30.0",".",".",".",".",".",".",".",".",".",".","."
"Fund-Stage Lighting Technology","166
001","15","3.500","60.0","20.0","13.3",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"Fundamentals of Stagecraft","170
001","8","2.942","12.5","12.5","62.5",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"History-Theatrical Production","224
001","48","3.021","22.9","22.9","25.0","14.6","6.3",".","6.3",".",".",".",".",".",".",".","2.1","."
"Fundamentals of Acting","250
001","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"African Dance Performance","277
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"In Trans: Modern Scand Drama","349
001","8","3.313","25.0","37.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Acting Realism","350
001","15","3.667","46.7","46.7",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Javanese Performance","353
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Theatre-Cultrl&Soc Aware","357
001","26","3.673","50.0","38.5","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory II","361
001","12","3.750","66.7","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","362
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
006","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drama in Education","Course Total","26","3.923","88.5","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prin&Pract-Stage Costume Dsgn","363
001","22","3.609","36.4","50.0","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
