"CLINICAL LABORATORY SCIENC Section","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"628
CLNLABSC","","","","","","","","","","","","","","","","","","","","","","","",""
"102
001
Intro to Clinical Lab Science","55","3.782","85.5",".","10.9",".",".","3.6",".","",".","",".","",".",".","",".","",".","",".",".","."
"410
001
Basic Cytology & Lab Procudure","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"515
001
Clinical Hematology I","24","3.021","12.5","29.2","33.3","8.3","12.5","4.2",".","",".","",".","",".",".","",".","",".","",".",".","."
"525
001
Clinical Chemistry I","20","3.675","55.0","25.0","20.0",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"535
001
Lab Diagnos-Infect Disease I","26","3.154","19.2","19.2","46.2","3.8","11.5",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"540
001
The Female Reproductive System","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"541
001
Clinical Practice I","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"543
001
The Respiratory System","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"550
001
Clinical Immunohematology","19","3.211","15.8","36.8","26.3","15.8","5.3",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"560
001
Clin Immunol & Applied Tech","25","3.280","20.0","28.0","44.0","4.0","4.0",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"575
001","14","3.857","85.7",".","14.3",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"575
002","10","3.950","90.0","10.0",".",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"Course Total
Clinical Lab Science Practicum","24","3.920","87.5","4.2","8.3",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"620
001
Management Seminar","19","4.000","100.0",".",".",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"CLNLABSC
Dept. Total
628","216","3.414","53.2","15.7","22.7","3.2","3.7","1.4","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"628
CLNLABSC","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","15","3.933","93.3",".","6.7",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","16","3.813","81.3",".","18.8",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","31","3.361","61.3","9.7","12.9","3.2","6.5","6.5","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","154","3.386","44.8","20.1","26.6","3.9","3.9","0.6","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","216","3.414","53.2","15.7","22.7","3.2","3.7","1.4","",".","",".","",".",".","",".","",".","",".",".",".","."
"Dept. Total","216","3.414","53.2","15.7","22.7","3.2","3.7","1.4","",".","",".","",".",".","",".","",".","",".",".",".","."
