"LIBRARY & INFORMATION STUD Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","",""
"","450
001","46","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","450
002","38","3.750","57.9","34.2","7.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","450
003","16","3.719","56.3","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Agencies & Their Envir","Course Total","100","3.860","77.0","18.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Mthd&Pub Presntn-Folklr","490
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Organization of Information","551
001","37","3.716","48.6","45.9","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","561
001","25","3.720","60.0","24.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","561
002","32","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","561
003","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Use and Users","Course Total","73","3.767","58.9","35.6","5.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Books&Print Culture","570
001","21","3.952","95.2",".","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Sources","571
001","28","3.786","71.4","21.4","3.6",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"Records Management","616
001","16","4.000","87.5",".",".",".",".",".",".","6.3",".",".",".",".",".",".",".","6.3"
"Music Resrch Mthds & Matls","619
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","Course Total","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Literacy","639
001","16","3.688","75.0","12.5","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"","645
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","645
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","645
003","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intellectual Freedom&Libr","Course Total","24","4.000","95.8",".",".",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Cataloging & Classification","651
001","19","3.711","47.4","47.4","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","654
001","31","4.000","96.8",".",".",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"","654
002","23","3.935","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","654
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","654
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Info Services Management","Course Total","59","3.957","89.8","8.5",".",".",".",".",".","1.7",".",".",".",".",".",".",".","."
"College & Univ Libraries","722
001","11","3.682","63.6","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Archives Adm","734
001","22","3.750","54.5","40.9","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Info Agency Management","754
001","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lib Serv-Chldrn&Young Adult","772
001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","825
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","825
002","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","825
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Reference & Info Service","Course Total","22","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Project-Lib&Info Literacy","826
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"On-Line Reference&Info Serv","828
001","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in User Services","847
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Information Architecture","861
001","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Libraries","879
001","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Resrch Dsgn & Methodolgy-LIS","910
001","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 246 of 406",""
