"L&S","","","","","","","","","","","","","","","","","","","","",""
"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","","",""
"COM ARTS
250","Dept. Total","3298","3.241","20.4","32.8","28.6","9.8","4.5","0.5","0.7","1.4","",".","0.8","",".","0.1","0.2","0.1",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","613","3.294","17.6","44.4","25.3","7.8","3.8","0.7","0.5",".","",".",".","",".",".",".",".",".","."
"Sophomore","","600","3.164","13.0","37.0","30.2","12.0","6.3","0.8","0.3",".","",".",".","",".",".","0.3",".",".","."
"Junior","","972","3.166","15.4","30.8","35.2","11.0","4.6","0.5","1.0","0.2","",".","1.0","",".",".",".","0.2",".","."
"Senior","","897","3.239","21.3","31.2","28.7","10.6","4.7","0.4","0.8","0.4","",".","1.7","",".",".","0.2",".",".","."
"Undergraduates","","3082","3.212","17.1","34.8","30.3","10.4","4.8","0.6","0.7","0.2","",".","0.8","",".",".","0.1","0.1",".","."
"Special","","14","3.319","28.6","28.6","21.4","7.1","7.1",".",".",".","",".","7.1","",".",".",".",".",".","."
"Graduate","","202","3.916","70.3","3.0","3.0",".","0.5",".",".","20.3","",".",".","",".","1.5","1.5",".",".","."
"","Dept. Total","3298","3.241","20.4","32.8","28.6","9.8","4.5","0.5","0.7","1.4","",".","0.8","",".","0.1","0.2","0.1",".","."
