"","990
031","3","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
033","2","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
034","1","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"Research","Course Total","44","",".",".",".",".",".",".",".","100.0","",".",".",".","",".","",".",".",".","."
"ATM OCN
640","Dept. Total","1128","3.098","24.2","17.5","24.4","9.5","10.2","2.7","1.2","4.6","",".","5.4",".","",".","",".","0.2","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","148","2.975","18.2","16.2","36.5","10.8","13.5","4.1","0.7",".","",".",".",".","",".","",".",".",".","."
"Sophomore","","425","3.137","24.2","21.6","28.5","10.1","11.8","1.9","0.9",".","",".","0.7",".","",".","",".",".","0.2","."
"Junior","","177","3.016","27.1","10.2","29.4","15.8","12.4","3.4","1.1",".","",".",".",".","",".","",".","0.6",".","."
"Senior","","185","2.925","25.4","18.9","19.5","10.3","11.9","5.9","3.2","1.1","",".","3.8",".","",".","",".",".",".","."
"Undergraduates","","935","3.047","24.1","18.1","28.1","11.3","12.2","3.3","1.4","0.2","",".","1.1",".","",".","",".","0.1","0.1","."
"Special","","7","3.350",".","42.9","14.3",".",".",".",".","28.6","",".",".",".","",".","",".",".","14.3","."
"Graduate","","186","3.661","25.8","13.4","5.9","0.5","0.5",".",".","25.8","",".","27.4",".","",".","",".","0.5",".","."
"","Dept. Total","1128","3.098","24.2","17.5","24.4","9.5","10.2","2.7","1.2","4.6","",".","5.4",".","",".","",".","0.2","0.2","."
