"GENETICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","",""
"160
Heredity","001","","83","2.530","14.5","15.7","14.5","12.0","27.7","8.4","6.0","1.2",".",".",".",".",".",".",".","."
"299","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","077","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","092","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","095","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","25","3.962","96.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","003","","21","3.850","76.2","9.5","9.5",".",".",".",".",".",".",".",".",".",".","4.8",".","."
"375","005","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","006","","22","3.955","95.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","007","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","008","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","009","","43","3.953","90.7","9.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","010","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","011","","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","234","3.975","95.7","2.6","1.3",".",".",".",".",".",".",".",".",".",".","0.4",".","."
"466
General Genetics","001","","184","2.715","18.5","14.7","16.8","21.7","15.2","10.9","2.2",".",".",".",".",".",".",".",".","."
"545","001","","13","3.577","53.8","15.4","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"545","002","","11","3.091","36.4","27.3","9.1","9.1","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"Genetics Laboratory","Course Total","","24","3.354","45.8","20.8","16.7","8.3","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"565
Human Genetics","001","","51","2.804","29.4",".","35.3",".","23.5","9.8","2.0",".",".",".",".",".",".",".",".","."
"607
Advanced Microbial Genetics","001","","15","3.633","53.3","20.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"612
Prokaryotic Molecular Biol","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"677
Advanced Topics in Genetics","001","","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","109","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","6","3.763","83.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
