"L&S","","","","","","","","","","","","","","","","","","","","",""
"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","","",""
"PHILOS
736","Dept. Total","2174","3.232","29.3","26.4","23.3","8.0","6.2","2.2","1.5","2.8","0.0",".","",".","",".","0.1","0.0","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","319","3.113","21.9","24.5","31.3","11.3","6.9","2.8","1.3",".",".",".","",".","",".",".",".",".","."
"Sophomore","","489","3.136","22.9","27.4","26.4","11.7","7.2","2.5","1.6","0.4",".",".","",".","",".",".",".",".","."
"Junior","","601","3.321","31.9","28.8","24.0","7.2","5.5","1.3","0.8","0.5",".",".","",".","",".",".",".",".","."
"Senior","","635","3.226","32.1","27.1","20.6","5.7","6.8","3.0","2.4","2.4",".",".","",".","",".",".",".",".","."
"Undergraduates","","2044","3.214","28.3","27.3","24.7","8.4","6.5","2.3","1.6","1.0",".",".","",".","",".",".",".",".","."
"Special","","16","3.522","25.0","6.3","6.3","6.3",".",".",".","31.3",".",".","",".","",".",".","6.3","18.8","."
"Graduate","","114","3.822","49.1","14.0","1.8","0.9","0.9",".",".","30.7","0.9",".","",".","",".","1.8",".",".","."
"","Dept. Total","2174","3.232","29.3","26.4","23.3","8.0","6.2","2.2","1.5","2.8","0.0",".","",".","",".","0.1","0.0","0.1","."
