"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","56","4.000","98.2",".",".",".",".",".",".",".",".",".",".",".",".",".","1.8","."
"Machine Shop and Welding","132
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","160
001","23","3.409","43.5","17.4","13.0","17.4","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"","160
002","19","3.474","52.6","15.8","15.8","5.3","10.5",".",".",".",".",".",".",".",".",".",".","."
"","160
003","22","3.405","45.5","31.8","4.5",".","4.5","9.1",".","4.5",".",".",".",".",".",".",".","."
"Architectural Graphics","Course Total","64","3.427","46.9","21.9","10.9","7.8","6.3","3.1",".","3.1",".",".",".",".",".",".",".","."
"","170
001","18","3.111","16.7","33.3","38.9",".","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"","170
002","19","3.289","15.8","52.6","10.5","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"","170
003","17","3.618","47.1","29.4","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","Course Total","54","3.333","25.9","38.9","24.1","5.6","3.7",".","1.9",".",".",".",".",".",".",".",".","."
"Intro Engineering Graphics","231
001","111","3.279","26.1","27.0","29.7","10.8","6.3",".",".",".",".",".",".",".",".",".",".","."
"","232
001","52","2.808","13.5","9.6","34.6","25.0","11.5","3.8","1.9",".",".",".",".",".",".",".",".","."
"","232
002","18","2.917","11.1","27.8","22.2","22.2","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"Geom Modeling-Engr Applcatn","Course Total","70","2.836","12.9","14.3","31.4","24.3","11.4","4.3","1.4",".",".",".",".",".",".",".",".","."
"","240
001","45","2.311","6.7","6.7","22.2","11.1","40.0","6.7","6.7",".",".",".",".",".",".",".",".","."
"","240
002","62","2.815","22.6","16.1","21.0","11.3","19.4","4.8","4.8",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","107","2.603","15.9","12.1","21.5","11.2","28.0","5.6","5.6",".",".",".",".",".",".",".",".","."
"","291
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","291
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","291
050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergrad Mech Engr Project","Course Total","3","***","","","","","","","","","","","","","","","",""
"","299
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
050","20","3.744","65.0","20.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","21","3.750","66.7","19.0","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","306
001","45","2.667","20.0","13.3","17.8","17.8","17.8","6.7","6.7",".",".",".",".",".",".",".",".","."
"","306
002","46","2.772","8.7","21.7","26.1","19.6","17.4","4.3","2.2",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","91","2.720","14.3","17.6","22.0","18.7","17.6","5.5","4.4",".",".",".",".",".",".",".",".","."
"","307
001","11","3.091","9.1","27.3","45.5","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","307
002","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","15","3.300","26.7","13.3","53.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","307
005","10","3.050","30.0","10.0","20.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","307
006","13","3.115","15.4","23.1","46.2",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"","307
007","13","3.346","30.8","15.4","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","307
009","14","3.464","42.9","28.6","7.1","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","85","3.294","28.2","23.5","32.9","9.4","5.9",".",".",".",".",".",".",".",".",".",".","."
"","313
001","43","3.081","16.3","30.2","30.2","14.0","4.7","2.3","2.3",".",".",".",".",".",".",".",".","."
"","313
002","43","3.209","11.6","34.9","41.9","7.0","4.7",".",".",".",".",".",".",".",".",".",".","."
"Manufacturing Processes","Course Total","86","3.145","14.0","32.6","36.0","10.5","4.7","1.2","1.2",".",".",".",".",".",".",".",".","."
"","314
001","47","3.340","23.4","44.7","14.9","10.6","6.4",".",".",".",".",".",".",".",".",".",".","."
"","314
002","32","3.031","9.4","43.8","21.9","12.5","6.3","3.1","3.1",".",".",".",".",".",".",".",".","."
"Intro-Competitv Manufactrng","Course Total","79","3.215","17.7","44.3","17.7","11.4","6.3","1.3","1.3",".",".",".",".",".",".",".",".","."
"","340
001","55","3.000","14.5","14.5","32.7","29.1","7.3",".",".",".",".",".",".",".",".",".",".","1.8"
"","340
002","43","2.965","4.7","32.6","27.9","25.6","7.0","2.3",".",".",".",".",".",".",".",".",".","."
"Intro to Dynamic Systems","Course Total","98","2.985","10.2","22.4","30.6","27.6","7.1","1.0",".",".",".",".",".",".",".",".",".","1.0"
