"COMMUNICATION ARTS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"465
Editing & Post-prod:Video&Film","001","","14","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"466
Writing for TV & Film","001","","13","3.385","23.1","30.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"467","001","","12","3.409","16.7","41.7","33.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"467","002","","12","3.333","16.7","33.3","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cinematography & Sound Rcrdng","Course Total","","24","3.370","16.7","37.5","41.7",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"470
Contemp Political Discourse","001","","36","3.629","44.4","33.3","19.4",".",".",".",".",".",".",".",".",".",".","2.8",".","."
"472
Rhetoric and Technology","001","","19","3.158","26.3","26.3","26.3","5.3","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"556
Am Film Inds-Studio Sys Era","001","","32","3.109","15.6","28.1","31.3","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"560
Communication Theory","001","","7","2.714",".","14.3","28.6","42.9","14.3",".",".",".",".",".",".",".",".",".",".","."
"565
Communictn&Interethnc Behav","001","","40","3.359","35.0","17.5","30.0","12.5","2.5",".",".",".",".",".",".",".","2.5",".",".","."
"572
Interpersonal Communication","001","","24","3.063","12.5","12.5","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"576
Prin-Rhetorical Criticism","001","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"610
Topics-Rhetoric&Pub Address","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"612
Topics-Communicatn Science","001","","15","3.500","40.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"613","003","","20","3.300","25.0","45.0","20.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"613","005","","8","3.375","12.5","50.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"613","006","","16","3.531","37.5","37.5","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"613","007","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics; Broadcasting & Film","Course Total","","59","3.551","45.8","32.2","16.9","3.4",".",".","1.7",".",".",".",".",".",".",".",".","."
"614","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"614","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"614","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"614","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"614","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"614","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"614","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Exper in Communicatn","Course Total","","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"615","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"615","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Secnd Fld Exp-Communication","Course Total","","3","***","","","","","","","","","","","","","","","",""
"651
Adv Video Productn&Directn","001","","20","3.400","15.0","55.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"655
German Film","001","","7","2.857","14.3",".","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".",".","."
"662
Media and Cultural Theory I","001","","17","3.688","64.7","11.8","11.8",".","5.9",".",".","5.9",".",".",".",".",".",".",".","."
