"MANAGEMENT AND HUMAN RES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","","",""
"799","217","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","","8","3.889","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"870
Smr-Administrative Policy","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"975
Doctoral Rsch Smr in Mgmt","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","088","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","123","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","129","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Management","Course Total","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
