"PHYSICAL EDUC ACTIVITY PRO Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"300
002","15","3.833","66.7","13.3","6.7",".",".",".",".","13.3",".",".",".","",".","",".",".",".","."
"Course Total
Workshop-Physical Activity","37","3.792","56.8","27.0","5.4",".",".",".",".","10.8",".",".","",".","",".",".",".",".","."
"310
001
Water Safety Instructor","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"362
001
Tennis III","16","3.900","50.0","12.5",".",".",".",".",".","37.5",".",".",".","",".","",".",".",".","."
"PE ACTIV
Dept. Total
740","1618","3.238","36.2","19.8","12.9","4.4","6.9","1.4","1.0","16.4","0.2",".","",".","",".","0.1","0.2","0.6","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"Freshmen","178","2.686","21.3","14.0","21.3","11.8","21.3","5.6","2.2","2.2",".",".","",".","",".",".",".",".","."
"Sophomore","384","3.161","40.6","20.8","14.8","5.7","11.7","1.6","0.8","3.6",".",".","",".","",".","0.3",".",".","."
"Junior","306","3.459","44.8","24.2","12.7","3.6","2.6","0.7","1.3","9.5",".",".","",".","",".",".","0.7",".","."
"Senior","567","3.451","39.2","21.0","10.2","2.6","3.0","0.7","0.9","21.9","0.5",".","",".","",".",".",".",".","."
"Undergraduates","1435","3.224","38.5","20.8","13.4","4.8","7.5","1.5","1.1","11.9","0.2",".","",".","",".","0.1","0.1",".","."
"Special","93","3.458","9.7","4.3","9.7",".","1.1",".",".","63.4",".",".","",".","",".",".","1.1","10.8","."
"Graduate","72","3.477","22.2","22.2","8.3","4.2","2.8",".",".","40.3",".",".","",".","",".",".",".",".","."
"Prof Yr 1","2","3.750","50.0","50.0",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Prof Yr 2","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Prof Yr 3","13","3.833","30.8","15.4",".",".",".",".",".","53.8",".",".","",".","",".",".",".",".","."
"Prof Yr 4","2","3.500","50.0",".","50.0",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Professionals","18","3.773","38.9","16.7","5.6",".",".",".",".","38.9",".",".","",".","",".",".",".",".","."
"Dept. Total","1618","3.238","36.2","19.8","12.9","4.4","6.9","1.4","1.0","16.4","0.2",".","",".","",".","0.1","0.2","0.6","."
