"EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"200
Race,Ethnicty&Inequal-Am Ed","001","","19","3.789","63.2","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","001","","26","3.192","11.5","38.5","42.3",".","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"300","002","","23","3.370","8.7","56.5","34.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","003","","27","3.556","29.6","51.9","18.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","004","","33","3.576","51.5","36.4","6.1",".","3.0",".","3.0",".",".",".",".",".",".",".",".","."
"School and Society","Course Total","","109","3.436","27.5","45.0","23.9",".","1.8","0.9","0.9",".",".",".",".",".",".",".",".","."
"399","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","4","***","","","","","","","","","","","","","","","",""
"412
History-American Education","001","","55","3.264","27.3","32.7","25.5","5.5","3.6","5.5",".",".",".",".",".",".",".",".",".","."
"460
Cultural Pluralsm&Ed Policy","001","","30","3.138","3.3","43.3","40.0","3.3","3.3","3.3",".",".",".",".",".",".","3.3",".",".","."
"475
Educ & Jewish Civilization","001","","9","3.438","22.2","33.3","33.3",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"478
Compar Hist-Chldhood&Adoles","001","","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"500
Social Issues and Education","001","","24","3.521","20.8","62.5","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"505
Issues in Urban Education","001","","28","3.615","50.0","25.0","7.1","10.7",".",".",".",".",".",".",".",".","7.1",".",".","."
"545
Philos Concepts-Tch&Learng","001","","11","3.650","36.4","45.5","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"560
Gender and Education","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"635
The Sociol of School Org","001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"648
Sociology of Education","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Independent Reading","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"701
Intro to Ed Policy Studies","001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"765
Issues in Educ Policy Analysis","001","","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"780","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"780","002","","9","3.750","44.4","44.4",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"780","003","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"780","005","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Educ Policy","Course Total","","31","3.897","74.2","19.4",".",".",".",".",".",".",".",".",".",".","6.5",".",".","."
"805
Gender Issues-Intl Educ Policy","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"830
Financng Elem&Secondry Educ","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"855
Issues-Elementary Education","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"906
Prosem-History of Education","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 87 of 406"
