"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"PUB AFFR","","","","","","","","","","","","","","","","","","","","","",""
"Junior","1","3.500",".","100.0",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior","19","3.689","63.2","15.8","21.1",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","20","3.679","60.0","20.0","20.0",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Special","2","4.000","50.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".","50.0","."
"Graduate","312","3.545","36.5","23.4","16.7","4.2","0.6","",".","0.3","17.9","",".",".","",".","",".","0.3",".",".","."
"Prof Yr 1","1","",".",".",".",".",".","",".",".","100.0","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","13","3.419","23.1","30.8","30.8",".",".","",".",".","15.4","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","1","3.500",".","100.0",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","15","3.426","20.0","33.3","26.7",".",".","",".",".","20.0","",".",".","",".","",".",".",".",".","."
