"MANAGEMENT AND HUMAN RES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","206","2.708","10.7","9.2","44.7","4.9","20.9","5.3","3.4","0.5",".",".",".",".",".","0.5",".","."
"","300
002","220","2.825","14.1","9.5","42.7","10.0","17.7","4.1","1.8",".",".",".",".",".",".",".",".","."
"","300
010","90","2.815","24.4","4.4","38.9","1.1","21.1","3.3","5.6","1.1",".",".",".",".",".",".",".","."
"","300
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","518","2.778","14.5","8.5","43.1","6.4","19.5","4.4","3.1","0.4",".",".",".",".",".","0.2",".","."
"","305
001","73","3.007","13.7","11.0","52.1","6.8","15.1",".",".","1.4",".",".",".",".",".",".",".","."
"","002
305","68","2.697","19.1","4.4","36.8","7.4","16.2","8.8","4.4","1.5","1.5",".",".",".",".",".",".","."
"","305
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Resource Management","Course Total","143","2.875","17.5","7.7","44.1","7.0","15.4","4.2","2.1","1.4","0.7",".",".",".",".",".",".","."
"","399
096","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
129","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
225","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","4","***","","","","","","","","","","","","","","","",""
"The Management of Teams","401
001","40","3.975","97.5",".","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","420
001","37","3.757","64.9","21.6","13.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","420
002","30","3.700","56.7","26.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Manage Change & Org","Course Total","67","3.731","61.2","23.9","14.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Small Bus Mgmnt/Entrprshp","422
001","31","3.387","29.0","29.0","35.5","3.2","3.2",".",".",".",".",".",".",".",".",".",".","."
"Strategic Management","423
001","40","3.450","22.5","57.5","12.5","2.5","5.0",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneur Growth Strategies","427
001","8","3.313","37.5","37.5",".",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"Seminar:Human Resources Issues","471
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Compensation: Theory & Adm","610
001","34","3.515","38.2","35.3","20.6","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"Negotiations","628
001","35","3.838","74.3","14.3","8.6",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"Organizational Behavior","700
010","11","2.909","18.2","18.2","45.5",".","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"Managing Behav in Organizatns","704
030","44","3.852","90.9","2.3",".",".","6.8",".",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","705
001","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","722
001","21","3.786","61.9","33.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
001","33","3.864","78.8","15.2","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
002","35","3.843","80.0","14.3","2.9",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"","723
003","40","3.825","80.0","15.0","2.5",".",".","2.5",".",".",".",".",".",".",".",".",".","."
"","723
030","31","3.694","38.7","61.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Strategy","Course Total","139","3.809","70.5","25.2","2.9",".","0.7","0.7",".",".",".",".",".",".",".",".",".","."
"","728
001","35","3.729","51.4","42.9","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","728
002","28","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Barg,Negot,Dispute Settlmnt","Course Total","63","3.738","50.8","46.0","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Management Consulting","731
001","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Venture Creation","734
001","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"WAVE Practicum I","737
001","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","14","3.750","42.9","42.9",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","765
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","15","3.757","46.7","40.0",".",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"Seminar-Arts Administration","773
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
204","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 57 of 406"
