"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Field of Social Work","205
001","","193","3.715","67.4","21.8","6.2","1.0","2.1","0.5","1.0",".",".",".",".",".",".",".",".","."
"","400
002","","9","3.595","55.6","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","400
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
004","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
006","","7","3.864","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
007","","14","3.903","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
008","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
009","","11","3.182","18.2","63.6",".","9.1",".",".","9.1",".",".",".",".",".",".",".",".","."
"","400
010","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
016","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Pract/Integrat Smr I","Course Total","","89","3.838","78.7","16.9","1.1","2.2",".",".","1.1",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr II","401
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","440
001","","24","3.783","54.2","41.7",".",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"","440
002","","22","3.714","50.0","36.4","9.1",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"","003
440","","24","3.792","62.5","33.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
004","","21","3.619","47.6","28.6","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prac I:Foundatn-Generalst Prac","Course Total","","91","3.730","53.8","35.2","8.8",".",".",".",".",".",".",".",".",".","2.2",".",".","."
"","441
001","","42","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
002","","46","3.880","93.5","2.2","2.2",".",".",".","2.2",".",".",".",".",".",".",".",".","."
"Prac II: Individls, Fam, Grps","Course Total","","88","3.938","96.6","1.1","1.1",".",".",".","1.1",".",".",".",".",".",".",".",".","."
"African American Families","521
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Family Violence","523
001","","25","3.320","40.0","24.0","20.0","8.0","4.0",".","4.0",".",".",".",".",".",".",".",".","."
"","579
002","","19","4.000","94.7",".",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","579
003","","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Social Work","Course Total","","51","4.000","98.0",".",".",".",".",".",".","2.0",".",".",".",".",".",".",".","."
"The Field of Social Work","605
001","","41","3.866","80.5","12.2","7.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic and Racial Groups","640
001","","99","3.667","70.7","16.2","4.0","4.0","2.0","1.0","2.0",".",".",".",".",".",".",".",".","."
"","644
001","","56","3.352","46.4","17.9","16.1","10.7","3.6",".","3.6",".",".",".",".",".",".","1.8",".","."
"","644
002","","15","3.571","53.3","26.7","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Soc Work & Devel Disabilities","Course Total","","71","3.398","47.9","19.7","15.5","8.5","4.2",".","2.8",".",".",".",".",".",".","1.4",".","."
"Child Abuse and Neglect","646
001","","28","3.926","89.3","7.1","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Understandng Latino Fam & Comm","657
001","","13","3.692","61.5","15.4","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"American Indian Affairs","658
001","","18","2.981","22.2","22.2","38.9",".","5.6","5.6","5.6",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","679
001","","28","3.889","89.3",".","10.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
