"Research and Thesis","791
012","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","799
011","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","799
036","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","","","","","","",""
"THER SCI
939","Dept. Total","199","3.620","43.7","35.7","15.1","1.0","0.5","",".","",".","3.5","",".",".","",".","",".","0.5",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"939
THER SCI","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","8","3.550","50.0",".","37.5","12.5",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","23","3.625","34.8","52.2","13.0",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","6","3.786","50.0","50.0",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","6","3.688","50.0","33.3",".","16.7",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","43","3.643","41.9","39.5","14.0","4.7",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special","","5","3.786","40.0","20.0",".",".",".","",".","",".","40.0","",".",".","",".","",".",".",".",".","."
"Graduate","","151","3.614","44.4","35.1","15.9",".","0.7","",".","",".","3.3","",".",".","",".","",".","0.7",".",".","."
"","Dept. Total","199","3.620","43.7","35.7","15.1","1.0","0.5","",".","",".","3.5","",".",".","",".","",".","0.5",".",".","."
