"","990
033","3","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
036","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
038","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","41","",".",".",".",".",".",".","",".","82.9","4.9",".",".","7.3","",".",".","4.9","."
"HORT
476","Dept. Total","325","3.317","31.7","20.0","18.8","8.0","4.6","2.2","",".","12.6","0.6",".",".","0.9","",".",".","0.6","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","7","3.152","28.6",".","28.6","42.9",".",".","",".",".",".",".",".",".","",".",".",".","."
"Sophomore","","48","3.387","33.3","35.4","16.7","6.3","8.3",".","",".",".",".",".",".",".","",".",".",".","."
"Junior","","66","3.315","36.4","22.7","25.8","7.6","4.5","3.0","",".",".",".",".",".",".","",".",".",".","."
"Senior","","121","3.195","34.7","18.2","24.0","12.4","6.6","4.1","",".",".",".",".",".",".","",".",".",".","."
"Undergraduates","","242","3.266","34.7","22.3","23.1","10.7","6.2","2.9","",".",".",".",".",".",".","",".",".",".","."
"Special","","6","3.813","66.7",".","16.7",".",".",".","",".","16.7",".",".",".",".","",".",".",".","."
"Graduate","","77","3.673","19.5","14.3","5.2",".",".",".","",".","51.9","2.6",".",".","3.9","",".",".","2.6","."
"","Dept. Total","325","3.317","31.7","20.0","18.8","8.0","4.6","2.2","",".","12.6","0.6",".",".","0.9","",".",".","0.6","."
