"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"","267
004","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Brass","Course Total","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
002","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Percussion","Course Total","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
006","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-String","Course Total","27","4.000","96.3",".",".",".",".",".",".",".",".",".",".",".",".","3.7",".","."
"Ensemble-Guitar","270
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
101","9","3.167","22.2","11.1","55.6",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","271
102","10","3.500","40.0","40.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","271
103","14","3.143","21.4","28.6","7.1","42.9",".",".",".",".",".",".",".",".",".",".",".","."
"","271
104","14","3.143","21.4","35.7","14.3","7.1","21.4",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 3","Course Total","47","3.223","25.5","29.8","19.1","14.9","10.6",".",".",".",".",".",".",".",".",".",".","."
"Black Mus(1920-Pres)-Trumpt","310
001","33","3.848","72.7","24.2","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Improvisation","331
001","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","340
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","340
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pedagogy","Course Total","5","***","","","","","","","","","","","","","","","",""
"Practicum-String Pedagogy","345
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Repertoire","346
005","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Concepts of Music","351
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","361
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
002","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Non-Western Music Performnc","Course Total","32","3.984","96.9","3.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","40
001","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","40
002","46","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wind Ensemble","Course Total","82","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","41
001","110","3.991","99.1",".","0.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","41
002","110","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","41
003","98","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bands","Course Total","318","3.989","98.1","1.6","0.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey Music-Baroque Era","413
001","25","3.620","56.0","20.0","20.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Survey Music-Romantic Era","415
001","23","3.478","34.8","30.4","30.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Survey Music-20th C","416
001","26","3.231","7.7","38.5","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Varsity Band","42
001","316","3.998","99.7","0.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collegium Musicum","461
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","497
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
