"Intro to Biostatistics","Course Total","","40","3.462","42.5","25.0","25.0",".","2.5","",".","2.5",".","",".",".","",".","",".","",".",".","2.5","."
"Intro to Clinical Trials II","544
001","","13","3.577","53.8","15.4","23.1","7.7",".","",".",".",".",".","",".",".","",".","",".","",".",".","."
"Introduction to Bioinformatics","576
001","","7","3.500","28.6","28.6","28.6",".",".","",".",".",".",".","",".",".","",".","",".","",".","14.3","."
"Computn&Informatcs in Biol&Med","915
001","","8","3.875","37.5","12.5",".",".",".","",".",".","50.0",".","",".",".","",".","",".","",".",".","."
"B M I
210","Dept. Total","","83","3.554","45.8","24.1","19.3","1.2","1.2","",".","1.2","4.8","",".",".","",".","",".","",".",".","2.4","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"210
B M I","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","3","3.667","66.7",".","33.3",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","3","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","7","3.857","85.7",".","14.3",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","","21","3.658","42.9","33.3","14.3",".",".","",".",".","4.8","",".",".","",".","",".","",".",".","4.8","."
"Graduate","","","42","3.472","38.1","21.4","26.2","2.4","2.4","",".",".","7.1","",".",".","",".","",".","",".",".","2.4","."
"Prof Yr 2","","","1","0.000",".",".",".",".",".","",".","100.0",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","12","3.750","58.3","33.3","8.3",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","13","3.462","53.8","30.8","7.7",".",".","",".","7.7",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","83","3.554","45.8","24.1","19.3","1.2","1.2","",".","1.2","4.8","",".",".","",".","",".","",".",".","2.4","."
