"ENGR MECHANICS & ASTRONA","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"201","001","","110","2.849","20.0","6.4","40.9","7.3","18.2","2.7","3.6",".",".",".",".",".",".","0.9",".","."
"201","002","","46","3.033","23.9","6.5","43.5","4.3","21.7",".",".",".",".",".",".",".",".",".",".","."
"Statics","Course Total","","156","2.903","21.2","6.4","41.7","6.4","19.2","1.9","2.6",".",".",".",".",".",".","0.6",".","."
"202","001","","101","3.317","35.6","30.7","14.9","10.9","4.0","2.0","2.0",".",".",".",".",".",".",".",".","."
"202","002","","52","3.019","11.5","25.0","42.3","9.6","5.8","5.8",".",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","","153","3.216","27.5","28.8","24.2","10.5","4.6","3.3","1.3",".",".",".",".",".",".",".",".","."
"303
Mechanics of Materials","001","","64","3.063","14.1","31.3","21.9","25.0","6.3",".","1.6",".",".",".",".",".",".",".",".","."
"307","001","","6","3.083",".","16.7","83.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"307","002","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"307","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"307","005","","7","3.143","28.6","14.3","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"307","006","","8","2.813",".","12.5","50.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"307","007","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"307","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","","42","3.250","26.2","19.0","38.1","11.9","4.8",".",".",".",".",".",".",".",".",".",".","."
"405
Practicum-Finite Elements","001","","33","3.045","36.4","12.1","27.3","9.1","6.1",".","9.1",".",".",".",".",".",".",".",".","."
"425
Undergrad Rheology Seminar","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"469
Design Probs in Engineering","001","","28","3.643","60.7","7.1","32.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"489
Honors in Research","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"506
Adv Mech of Materials I","001","","68","3.224","30.9","23.5","20.6","14.7","5.9","1.5","1.5","1.5",".",".",".",".",".",".",".","."
"521
Aerodynamics","001","","40","2.738","7.5","22.5","32.5","15.0","10.0","10.0","2.5",".",".",".",".",".",".",".",".","."
"542
Advanced Dynamics","001","","44","2.659","18.2","15.9","15.9","15.9","18.2","13.6","2.3",".",".",".",".",".",".",".",".","."
"547
Engineering Analysis I","001","","8","3.429","25.0","25.0","37.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"570
Experimental Mechanics","001","","13","3.808","76.9","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"599","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","040","","16","2.000",".",".",".",".","6.3",".",".","93.8",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","19","3.778","15.8",".",".",".","5.3",".",".","78.9",".",".",".",".",".",".",".","."
"690
Master's Research","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"745
Adv Methods-Structurl Dynamics","001","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research and Thesis","Course Total","","7","",".",".",".",".",".",".",".","85.7",".",".",".",".",".","14.3",".","."
"890","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
