"","990
032","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","14","",".",".",".",".",".",".","",".","57.1","",".",".",".","35.7","7.1",".",".","."
"Rsch in Physical Activity","991
001","4","***","","","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","999
030","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"KINES
742","Dept. Total","671","3.636","56.6","20.7","12.4","3.9","2.1","0.4","",".","1.3","",".","1.5","0.1","0.7","0.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","22","3.216","22.7","18.2","40.9","13.6","4.5",".","",".",".","",".",".",".",".",".",".",".","."
"Sophomore","","29","3.426","48.3","17.2","20.7","3.4","10.3",".","",".",".","",".",".",".",".",".",".",".","."
"Junior","","145","3.560","51.0","26.2","14.5","5.5","2.1","0.7","",".",".","",".",".",".",".",".",".",".","."
"Senior","","402","3.694","65.4","18.7","10.4","3.0","1.7","0.5","",".","0.2","",".",".",".",".",".",".",".","."
"Undergraduates","","598","3.637","59.5","20.4","13.0","4.0","2.3","0.5","",".","0.2","",".",".",".",".",".",".",".","."
"Special","","20","3.579","50.0","30.0","15.0","5.0",".",".","",".",".","",".",".",".",".",".",".",".","."
"Graduate","","52","3.659","26.9","21.2","3.8","1.9",".",".","",".","15.4","",".","19.2","1.9","7.7","1.9",".",".","."
"Prof Yr 1","","1","",".",".",".",".",".",".","",".",".","",".",".",".","100.0",".",".",".","."
"Professionals","","1","",".",".",".",".",".",".","",".",".","",".",".",".","100.0",".",".",".","."
"","Dept. Total","671","3.636","56.6","20.7","12.4","3.9","2.1","0.4","",".","1.3","",".","1.5","0.1","0.7","0.1",".",".","."
