"BUS","","","","","","","","","","","","","","","","","","",""
"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","277","3.236","20.9","30.3","30.3","11.6","6.1","0.4",".","0.4",".",".",".",".",".",".",".","."
"","300
002","162","3.178","21.6","23.5","33.3","11.7","7.4","1.2",".","1.2",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","439","3.214","21.2","27.8","31.4","11.6","6.6","0.7",".","0.7",".",".",".",".",".",".",".","."
"","305
001","50","3.560","52.0","20.0","16.0","12.0",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","44","3.511","50.0","22.7","11.4","11.4","4.5",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","94","3.537","51.1","21.3","13.8","11.7","2.1",".",".",".",".",".",".",".",".",".",".","."
"","310
001","43","3.558","30.2","51.2","18.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","43","3.430","20.9","46.5","30.2","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","86","3.494","25.6","48.8","24.4","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","37","3.797","83.8","8.1","5.4",".",".",".","2.7",".",".",".",".",".",".",".",".","."
"","365
003","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
004","42","3.707","73.8",".","19.0",".","4.8",".",".",".",".",".",".",".",".",".",".","2.4"
"Contemporary Topics","Course Total","87","3.750","77.0","5.7","12.6",".","2.3",".","1.1",".",".",".",".",".",".",".",".","1.1"
"","399
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
155","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","2","***","","","","","","","","","","","","","","","",""
"","415
001","37","3.125","8.1","27.0","43.2","18.9",".",".",".",".",".",".",".",".",".",".",".","2.7"
"","415
002","51","3.902","82.4","15.7","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Communications","Course Total","88","3.580","51.1","20.5","19.3","8.0",".",".",".",".",".",".",".",".",".",".",".","1.1"
"","425
001","32","3.406","9.4","62.5","28.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","425
002","49","3.408","14.3","53.1","32.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channels","Course Total","81","3.407","12.3","56.8","30.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
001","24","3.804","58.3","37.5",".",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"","460
002","26","3.788","57.7","42.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","50","3.796","58.0","40.0",".",".",".",".",".","2.0",".",".",".",".",".",".",".","."
"Sales Management","635
001","46","3.800","65.2","26.1","6.5",".",".",".",".","2.2",".",".",".",".",".",".",".","."
"","700
001","60","3.450","16.7","58.3","23.3","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","59","3.466","20.3","55.9","20.3","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","119","3.458","18.5","57.1","21.8","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","705
001","42","3.976","97.6",".","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","710
001","36","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","35","3.986","97.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
219","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
220","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Marketing PhD","971
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
120","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
134","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Marketing","Course Total","2","***","","","","","","","","","","","","","","","",""
"","999
107","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
120","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
138","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 59 of 406"
