"SOCIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"Stats for Sociologists I","","Course Total","86","2.924","29.1","19.8","14.0","11.6","12.8","7.0","4.7","1.2",".",".",".",".",".",".",".","."
"Stats for Sociologists II","361","001","28","3.241","32.1","25.0","17.9","14.3",".","7.1",".","3.6",".",".",".",".",".",".",".","."
"Stats for Sociologists III","362","001","37","3.514","35.1","29.7","32.4",".",".",".",".","2.7",".",".",".",".",".",".",".","."
"Computing-Sociologcl Resrch","365","002","10","3.650","30.0","70.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Populatn Probs-Honors","380","001","12","3.167","25.0","33.3","33.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"The Legal Profession","415","001","9","3.278","11.1","33.3","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Criminology","441","001","104","3.082","23.1","29.8","19.2","11.5","9.6","5.8","1.0",".",".",".",".",".",".",".",".","."
"Sociodem Anal-Mexican Migratn","470","001","14","3.814","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475","001","42","3.452","57.1","21.4","4.8","7.1","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"","475","002","31","2.645","16.1","19.4","12.9","12.9","22.6","16.1",".",".",".",".",".",".",".",".",".","."
"","475","003","27","3.524","37.0","33.3","25.9","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","475","004","9","3.611","55.6","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Soc Theory","","Course Total","109","3.255","40.4","23.9","12.8","8.3","8.3","4.6","1.8",".",".",".",".",".",".",".",".","."
"Feminism & Sociologicl Thry","477","001","11","3.591","45.5","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","496","002","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","496","003","9","3.222","44.4","22.2","22.2",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"","496","004","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Sociology","","Course Total","43","3.821","88.4","4.7","4.7",".",".",".","2.3",".",".",".",".",".",".",".",".","."
"Study Abroad in Sociology","497","000A","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","530","002","25","3.200","28.0","16.0","32.0","16.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"","530","003","42","2.500","9.5","14.3","16.7","9.5","38.1","11.9",".",".",".",".",".",".",".",".",".","."
"Intro-Social Psychology","","Course Total","67","2.810","16.4","14.9","22.4","11.9","26.9","7.5",".",".",".",".",".",".",".",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","532","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Bhv & Natural Resources","541","001","7","3.667","28.6","57.1",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Soc Perspec-Life Course&Age","575","001","24","3.247","25.0","20.8","33.3","20.8",".",".",".",".",".",".",".",".",".",".",".","."
"Community Development","617","001","18","3.418","61.1","5.6","16.7","11.1",".",".","5.6",".",".",".",".",".",".",".",".","."
"Political Sociology","624","001","25","2.620","24.0","12.0","24.0","8.0","8.0","16.0","8.0",".",".",".",".",".",".",".",".","."
"Am Indians-Contemporary Soc","639","001","11","2.727","18.2","18.2","18.2","18.2","18.2",".","9.1",".",".",".",".",".",".",".",".","."
"Sociology of Law","641","001","54","3.507","48.1","20.4","16.7","9.3","3.7",".",".","1.9",".",".",".",".",".",".",".","."
"Race and Ethnic Relations","646","001","29","2.839","6.9","17.2","27.6","27.6","17.2",".",".",".",".",".",".",".",".","3.4",".","."
"Sociology of Education","648","001","30","3.753","76.7","3.3","16.7",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Foundatn of Economic Sociology","651","001","8","3.500","37.5","37.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Sociol-Economic Institutions","652","001","15","3.152","40.0","13.3","6.7","13.3","26.7",".",".",".",".",".",".",".",".",".",".","."
"Population and Society","663","001","25","3.420","40.0","24.0","28.0","4.0",".","4.0",".",".",".",".",".",".",".",".",".","."
"Elem Demographic Techniques","674","001","14","3.393","35.7","28.6","14.3","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"Urbanism and Urbanization","677","001","24","2.458","8.3","20.8","12.5","20.8","25.0",".","12.5",".",".",".",".",".",".",".",".","."
"","681","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","055","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","068","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","081","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Senior Thesis","691","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 302 of 406",""
