"THEATRE AND DRAMA","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","","",""
"","366","001","","10","3.188","20.0","30.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"","366","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stage Lighting I","","Course Total","","14","3.311","21.4","42.9","14.3","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Directing","368","001","","28","3.704","67.9","21.4",".",".","3.6","3.6",".",".",".",".",".",".",".",".",".","3.6"
"Drafting for the Theatre","370","001","","9","2.828","22.2","33.3","11.1",".","22.2",".","11.1",".",".",".",".",".",".",".",".","."
"Set Design I","372","001","","13","3.423","23.1","53.8","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Stage Management","379","001","","14","3.731","57.1","21.4","14.3",".",".",".",".",".",".",".",".",".",".","7.1",".","."
"Theatre and Society","420","001","","16","3.500","37.5","25.0","12.5","12.5",".",".",".","12.5",".",".",".",".",".",".",".","."
"Contemp World Theatre & Lit","424","001","","20","3.675","55.0","30.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Survey: Theories of Drama","520","001","","12","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Brit Drama, 1914 to Present","538","001","","10","3.000","20.0","30.0","10.0","10.0",".",".","10.0","20.0",".",".",".",".",".",".",".","."
"Acting Shakespeare","541","001","","17","3.765","64.7","29.4",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory III","561","001","","41","3.852","87.8","7.3",".","2.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"Drama in Educ: Adv Studies","562","001","","12","3.878","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","619","001","","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","619","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","619","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Specl Topics-Theatre&Drama","","Course Total","","26","3.919","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Study-Theatre Dsgn&Tech","670","001","","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","19","3.956","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosem: Intro Rsch-Theatre","700","001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Theatre Hist-500bc-1700","731","001","","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Voice Training","740","001","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Stage Movement","742","001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Acting","750","001","","12","3.875","91.7",".",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Probs in Theatre&Drama","911","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collaboratv Design&Tech Studio","970","001","","8","3.563","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 315 of 406",""
