"EDU","","","","","","","","","","","","","","","","","","","",""
"ART EDUCATION (DEPT OF ART) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","",""
"Art in Elementary Education","323
001","","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art in Secondary Education","324
002","","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Elem School Art","470
001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum-Secondary School Art","493
001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Rsch","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Contemp Practices in Art Ed","900
001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Art Education","951
001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Independent Reading","999
061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"ART ED
176","Dept. Total","","69","3.881","78.3","17.4","2.9",".",".",".",".",".",".",".",".","1.4",".",".",".","."
