"","890
017","","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","890
021","","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Individual Research Thesis","Course Total","","3","***","","","","","","","","","","","","","","","","","","","","",""
"Seminar-Poetry","910
001","","11","3.818","63.6","36.4",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".","."
"GREEK
428","Dept. Total","","81","3.563","55.6","18.5","12.3",".","4.9","2.5","",".","4.9","",".",".","",".","",".","",".","1.2",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","4","3.125","50.0","25.0",".",".",".","25.0","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","14","3.443","42.9","14.3","35.7",".","7.1",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","11","3.476","63.6","18.2",".",".","9.1","9.1","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","19","3.627","63.2","15.8","15.8",".","5.3",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","48","3.492","56.3","16.7","16.7",".","6.3","4.2","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","","6","3.219","33.3","16.7","16.7",".","16.7",".","",".",".","",".",".","",".","",".","",".","16.7",".","."
"Graduate","","","27","3.826","59.3","22.2","3.7",".",".",".","",".","14.8","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","81","3.563","55.6","18.5","12.3",".","4.9","2.5","",".","4.9","",".",".","",".","",".","",".","1.2",".","."
