"JOURN AND MASS COMMUNICA Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","",""
"Course Total
Independent Research Prob","7","4.000","100.0",".",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"JOURN
Dept. Total
512","1403","3.420","34.1","31.4","19.5","4.6","3.1","0.9","0.4","2.1","",".","3.3","0.1","0.3","0.1",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","",""
"Freshmen","36","3.333","27.8","52.8","8.3","2.8",".","5.6","2.8",".","",".",".",".",".",".",".",".","."
"Sophomore","316","3.428","23.4","49.4","19.9","5.1","1.9","0.3",".",".","",".",".",".",".",".",".",".","."
"Junior","364","3.286","23.9","31.0","32.1","6.3","4.1","0.8","0.5","0.3","",".","0.8",".",".",".",".",".","."
"Senior","496","3.447","41.9","26.8","16.3","4.6","4.4","1.4","0.4","0.4","",".","2.8","0.4","0.2","0.2",".",".","."
"Undergraduates","1212","3.385","31.3","34.7","21.8","5.2","3.5","1.1","0.4","0.2","",".","1.4","0.2","0.1","0.1",".",".","."
"Special","11","3.350","27.3","18.2","18.2",".","9.1",".",".","18.2","",".","9.1",".",".",".",".",".","."
"Graduate","180","3.835","53.3","10.0","4.4","0.6",".",".",".","13.3","",".","16.1",".","1.7","0.6",".",".","."
"Dept. Total","1403","3.420","34.1","31.4","19.5","4.6","3.1","0.9","0.4","2.1","",".","3.3","0.1","0.3","0.1",".",".","."
