"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Amer Hist to Civil War Era","101","001","212","3.698","56.1","29.2","9.4","1.4","0.9","0.5",".","2.4",".",".",".",".",".",".",".","."
"Amer Hist-Civil War-Present","102","001","146","3.347","26.0","38.4","24.0","4.1","4.8",".","1.4","0.7",".",".",".",".",".","0.7",".","."
"Intro-E Asian History:China","103","001","69","3.588","39.1","43.5","10.1","5.8",".",".",".","1.4",".",".",".",".",".",".",".","."
"Intro-E Asian History:Japan","104","001","73","3.336","34.2","26.0","28.8","5.5","1.4","2.7","1.4",".",".",".",".",".",".",".",".","."
"The Ancient Mediterranean","110","001","89","3.468","44.9","21.3","21.3","6.7","2.2",".","1.1","2.2",".",".",".",".",".",".",".","."
"Medieval Europe 410-1500","115","001","70","3.289","17.1","35.7","31.4","8.6","2.9",".",".","4.3",".",".",".",".",".",".",".","."
"Modern Europe 1500-1815","119","001","69","3.363","26.1","37.7","21.7","7.2","4.3","1.4",".","1.4",".",".",".",".",".",".",".","."
"Europe&Mod World 1815-On","120","001","136","2.922","5.9","20.6","41.9","16.2","8.8","1.5","1.5","1.5","0.7",".",".",".",".",".","1.5","."
"English History to 1688","123","001","72","3.132","16.7","22.2","34.7","16.7","5.6",".","1.4","2.8",".",".",".",".",".",".",".","."
"Comparative World History","135","001","13","3.583","53.8","7.7","23.1","7.7",".",".",".","7.7",".",".",".",".",".",".",".","."
"History-S Asia to Present","142","001","54","3.231","37.0","16.7","25.9","11.1","5.6",".","3.7",".",".",".",".",".",".",".",".","."
"","199","010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","054","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
"","200","001","25","3.420","24.0","40.0","32.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","200","002","53","3.189","20.8","30.2","35.8","3.8","3.8","5.7",".",".",".",".",".",".",".",".",".","."
"","200","003","19","3.816","63.2","36.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Historical Studies","","Course Total","97","3.371","29.9","34.0","27.8","3.1","2.1","3.1",".",".",".",".",".",".",".",".",".","."
"Islam Wrld:MidEast,500-1500","205","001","107","3.266","25.2","11.2","48.6","6.5","0.9","0.9",".","4.7",".",".",".",".",".","1.9",".","."
"Westrn Relig&Intellect Hist","208","001","41","3.375","17.1","31.7","39.0",".",".",".",".","12.2",".",".",".",".",".",".",".","."
"The American Jewish Experience","219","001","44","3.000","9.1","18.2","45.5","13.6","4.5",".","2.3","6.8",".",".",".",".",".",".",".","."
"Explorations in Amer Hist (H)","221","001","44","3.061","22.7","27.3","18.2","6.8","11.4","4.5","2.3","6.8",".",".",".",".",".",".",".","."
"Exploration-European Hist (H)","223","001","25","3.292","28.0","40.0","20.0",".",".","4.0","4.0","4.0",".",".",".",".",".",".",".","."
"Modern Latin America","242","001","115","3.320","23.5","33.9","33.9","3.5","2.6","0.9","0.9",".",".",".",".",".",".","0.9",".","."
"SE Asia:Vietnam to Philipns","244","001","56","3.573","41.1","35.7","17.9","1.8","1.8",".",".","1.8",".",".",".",".",".",".",".","."
"American Business History","247","001","69","3.299","20.3","40.6","23.2","5.8","5.8","1.4",".","2.9",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","63","3.226","19.0","34.9","30.2","9.5","1.6","1.6","1.6",".",".",".",".",".",".","1.6",".","."
"Africa: Introductory Survey","277","001","51","3.200","25.5","19.6","29.4","19.6","2.0","2.0",".","2.0",".",".",".",".",".",".",".","."
"Hist Am Thought 1859-Pres","302","001","37","2.825","13.5","24.3","24.3","13.5","16.2","5.4","2.7",".",".",".",".",".",".",".",".","."
"Latin Paleography","316","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Sociol&Intel Hist 400-1200","317","001","55","3.197","18.2","30.9","32.7","7.3","5.5",".","1.8","3.6",".",".",".",".",".",".",".","."
"The Vietnam Wars","319","001","134","3.337","22.4","37.3","31.3","4.5","1.5",".","1.5","0.7","0.7",".",".",".",".",".",".","."
"Early Modern France, 1500-1715","320","001","49","2.887","10.2","20.4","30.6","14.3","10.2","4.1","2.0","8.2",".",".",".",".",".",".",".","."
"Sci Revol:Copernicus-Newton","323","001","20","3.289","10.0","45.0","30.0","10.0",".",".",".",".",".",".",".",".",".","5.0",".","."
"American Rev 1763-1789","344","001","136","3.486","41.9","29.4","11.8","7.4","2.9","0.7","0.7","5.1",".",".",".",".",".",".",".","."
"Contemp France 1914-Present","349","001","69","3.053","15.9","18.8","43.5","7.2","4.3","1.4","2.9","5.8",".",".",".",".",".",".",".","."
"Bible in the Middle Ages","368","001","20","3.475","40.0","45.0","10.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"Hist of Africa, 1500-1870","377","001","69","3.000","10.1","30.4","33.3","15.9","2.9","1.4","4.3","1.4",".",".",".",".",".",".",".","."
"Civil War Era, 1848-1877","393","001","58","3.065","20.7","20.7","31.0","12.1","8.6","5.2",".","1.7",".",".",".",".",".",".",".","."
