"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"250
Intro to Modern Materials","001","","26","3.385","65.4","11.5","3.8","3.8","3.8","7.7","3.8",".",".",".",".",".",".",".",".","."
"332
Macroprocessing-Materials","001","","23","3.478","34.8","30.4","30.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"350
Intro to Materials Science","001","","145","3.328","37.9","16.6","32.4","4.8","6.2","1.4","0.7",".",".",".",".",".",".",".",".","."
"351
Struct&Property Rels-Solids","001","","20","2.800","5.0","10.0","60.0",".","20.0","5.0",".",".",".",".",".",".",".",".",".","."
"360
Materials Laboratory I","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"362
Materials Laboratory III","001","","22","3.636","40.9","45.5","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"379
Materials Sys&Design Proj I","001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"390
Materials Sys&Desgn Proj II","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"401","003","","12","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"401","004","","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Mat Sci&Engr","Course Total","","27","3.741","59.3","29.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"423
Nuclear Engr Materials","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"434
Intro Thin-Film Deposition","001","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"441
Deformation of Solids","001","","9","3.667","66.7","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"448
Crystallog & Xray Diffractn","001","","14","3.833","57.1","28.6",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"451
Intro to Ceramic Materials","001","","13","2.423","7.7","7.7","23.1","30.8","7.7","23.1",".",".",".",".",".",".",".",".",".","."
"456
Elec,Opt&Mag Prop of Materials","001","","12","3.333","33.3","8.3","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"465
Fundamentals-Heat Treatment","001","","12","3.250","25.0","16.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"790","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","17","",".",".",".",".",".",".",".","70.6",".",".",".","29.4",".",".",".","."
"803","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"803","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"803","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"803","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
