"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"","138
003","13","3.550","23.1","38.5","15.4",".",".",".",".","23.1",".",".",".",".",".",".",".","."
"","138
004","14","3.500","35.7","28.6","14.3",".","7.1",".",".","14.3",".",".",".",".",".",".",".","."
"","138
005","13","3.542","61.5","23.1",".",".",".",".","7.7","7.7",".",".",".",".",".",".",".","."
"Golf I","Course Total","71","3.472","31.0","23.9","14.1","1.4","2.8",".","1.4","23.9","1.4",".",".",".",".",".",".","."
"","140
001","20","3.735","55.0","25.0",".",".","5.0",".",".","15.0",".",".",".",".",".",".",".","."
"","140
002","16","3.700","50.0","31.3","12.5",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Ice Skating I","Course Total","36","3.719","52.8","27.8","5.6",".","2.8",".",".","11.1",".",".",".",".",".",".",".","."
"Ice Skating II","145
001","19","3.688","42.1","31.6","10.5",".",".",".",".","15.8",".",".",".",".",".",".",".","."
"Fitness Walking","149
001","16","3.350","31.3","18.8","6.3",".",".",".","6.3","31.3",".",".",".",".","6.3",".",".","."
"Badminton I","155
001","19","3.067","15.8","15.8","36.8","5.3",".",".","5.3","15.8","5.3",".",".",".",".",".",".","."
"","157
001","22","3.425","22.7","36.4","27.3","4.5",".",".",".","9.1",".",".",".",".",".",".",".","."
"","002
157","19","3.594","21.1","57.9","5.3",".",".",".",".","15.8",".",".",".",".",".",".",".","."
"","157
003","14","3.708","42.9","35.7","7.1",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Topics in Fencing","Course Total","55","3.552","27.3","43.6","14.5","1.8",".",".",".","12.7",".",".",".",".",".",".",".","."
"","162
001","22","3.844","59.1","4.5","9.1",".",".",".",".","27.3",".",".",".",".",".",".",".","."
"","162
002","18","3.250","5.6","33.3","16.7","11.1",".",".",".","33.3",".",".",".",".",".",".",".","."
"","162
003","14","3.438","14.3","21.4","21.4",".",".",".",".","42.9",".",".",".",".",".",".",".","."
"Tennis I","Course Total","54","3.556","29.6","18.5","14.8","3.7",".",".",".","33.3",".",".",".",".",".",".",".","."
"","163
001","16","3.967","87.5","6.3",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","163
002","18","3.750","83.3",".",".",".",".",".","5.6","11.1",".",".",".",".",".",".",".","."
"","163
003","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Racquetball I","Course Total","51","3.906","90.2","2.0",".",".",".",".","2.0","5.9",".",".",".",".",".",".",".","."
"Basketball I","170
001","21","3.675","47.6","38.1","4.8","4.8",".",".",".","4.8",".",".",".",".",".",".",".","."
"Soccer I","173
001","20","3.583","35.0","40.0","10.0","5.0",".",".",".","5.0",".",".",".",".",".","5.0",".","."
"","175
001","21","3.625","38.1","23.8","9.5","4.8",".",".",".","23.8",".",".",".",".",".",".",".","."
"","175
002","18","3.700","33.3","11.1","11.1",".",".",".",".","44.4",".",".",".",".",".",".",".","."
"","175
003","28","3.269","28.6","25.0","28.6","3.6","3.6",".","3.6","7.1",".",".",".",".",".",".",".","."
"","175
004","33","3.485","33.3","33.3","30.3","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Volleyball I","Course Total","100","3.471","33.0","25.0","22.0","3.0","1.0",".","1.0","15.0",".",".",".",".",".",".",".","."
"Softball","179
001","20","3.500","45.0","30.0","10.0",".",".",".","5.0","10.0",".",".",".",".",".",".",".","."
"","201
001","17","3.929","70.6","11.8",".",".",".",".",".","17.6",".",".",".",".",".",".",".","."
"","201
002","17","3.800","58.8","23.5","5.9",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"Intermediate Swimming","Course Total","34","3.862","64.7","17.6","2.9",".",".",".",".","14.7",".",".",".",".",".",".",".","."
"Weight Training II","232
001","20","3.472","40.0","35.0","10.0",".",".",".","5.0","10.0",".",".",".",".",".",".",".","."
"Golf II","238
001","9","3.750","44.4","44.4",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Power Skating","244
001","18","3.500","27.8","38.9","11.1",".","5.6",".",".","16.7",".",".",".",".",".",".",".","."
"","262
001","17","3.808","64.7","5.9",".",".","5.9",".",".","23.5",".",".",".",".",".",".",".","."
"","262
002","18","3.571","33.3","27.8","11.1","5.6",".",".",".","22.2",".",".",".",".",".",".",".","."
"Tennis II","Course Total","35","3.685","48.6","17.1","5.7","2.9","2.9",".",".","22.9",".",".",".",".",".",".",".","."
"Volleyball II","275
001","33","3.758","72.7","9.1","3.0","6.1","3.0",".",".","6.1",".",".",".",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277
001","22","3.595","50.0","13.6","31.8",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Bicycling","295
001","12","3.500","50.0","25.0","8.3",".",".","8.3",".","8.3",".",".",".",".",".",".",".","."
"","300
001","22","3.759","50.0","36.4","4.5",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 92 of 406"
